"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Zaklinacz"
"2";"KOŁATKA";" Przemiany, 2. krąg";" 1 akcja";" 18 metrów";" W";" Natychmiastowy";" Wybierz obiekt, który widzisz w zasięgu czaru. Mogą to być drzwi, skrzynia, kufer, kajdany, kłódka, albo inna rzecz, zawierająca zwyczajny lub magiczny środek uniemożliwiający dostęp.<br><br>To, co było zamknięte na zamek bądź zasuwę,<br>lub zablokowane, zostaje otwarte lub odblokowane. Jeśli daną rzecz zabezpiecza więcej zamków, otwiera się tylko jeden z nich.<br><br>Jeśli wymierzysz zaklęcie w cel chroniony magicznym zamkiem, zakłócasz jego działanie na 10 minut, podczas których możesz normalnie otwierać i zamykać chroniony obiekt. Gdy rzucasz to zaklęcie, rozlega się donośny dźwięk kołatki, dobiegający z otwieranego obiektu i roznoszący się na 90 metrów.";"Zaklinacz"
"2";"KORONA OBŁĘDU";" Uroki, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 minuty";" Wybierz humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostanie przez ciebie zauroczony na czas trwania zaklęcia. Na głowie zauroczonej osoby pojawia się dziwaczna korona z żelaznych cierni, a w jej oczach lśni obłęd.<br><br>Zauroczona osoba w każdej swojej turze przed poruszeniem się, musi wykorzystać swoją akcję, by zaatakować wręcz inne stworzenie, które jej telepatycznie wskażesz. Jeśli nie wyznaczysz celu, lub żaden nie znajduje się w zasięgu zauroczonej osoby, to może ona zachowywać się normalnie. <br><br>Aby podtrzymać zaklęcie, musisz w kolejnych turach używać swojej akcji na utrzymanie kontroli nad celem. Co więcej, zauroczona istota może ponawiać rzut obronny na Mądrość, pod koniec każdej swojej tury. Gdy odniesie sukces, czar dobiega końca.";"Zaklinacz"
"2";"KROK PRZEZ MGŁĘ";" Przywoływanie, 2. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Natychmiastowy";" Otaczasz się na moment srebrzystą mgłą i teleportujesz się na odległość 9m w wolne miejsce, które widzisz.";"Zaklinacz"
"2";"LUSTRZANE ODBICIA";" Iluzje, 2. krąg";" 1 akcja";" Na siebie";" W, S";" 1 minuta";" Pojawiają się przy tobie twoje trzy iluzoryczne kopie. Do zakończenia czaru przemieszczają się wraz z tobą, naśladują twoje działania i zmieniają pozycję tak, by uniemożliwić odróżnienie ich od ciebie. W ramach swojej akcji możesz odwołać tę iluzję.<br><br>Za każdym razem, gdy jesteś celem ataku podczas trwania zaklęcia, rzuć k20, by sprawdzić, czy atak trafił w ciebie, czy w twoją kopię. Gdy posiadasz trzy kopie, musisz wyrzucić co najmniej 6, by atak został przekierowany na iluzję. Przy dwóch kopiach, musisz wyrzucić co najmniej 8. Mając tylko jedną kopię, musisz wyrzucić co najmniej 11. KP twojego lustrzanego odbicia wynosi 10 + twój modyfikator ze Zręczności. Iluzja trafiona atakiem - znika. Iluzję może zniszczyć jedynie wymierzony w nią atak - ignoruje wszystkie inne efekty i źródła obrażeń. Zaklęcie wygasa, gdy wszystkie trzy kopie zostaną zniszczone.<br><br> Iluzja nie zadziała na istotę, która jej nie widzi, albo polega na zmysłach innych niż wzrok, np. ślepowidzeniu, bądź potrafi przejrzeć iluzje, jak przy pomocy zdolności prawdziwego widzenia.";"Zaklinacz"
"2";"LEWITACJA";" Przemiany, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (rzemienna pętla albo kawałek złotego drutu wygiętego w kształt kielicha z długą nóżką)";" Koncentracja, do 10 minut";" Jedna istota lub nieprzymocowana rzecz, którą widzisz w zasięgu czaru, wznosi się pionowo na wysokość do 6 metrów i pozostaje zawieszona w powietrzu przez czas trwania czaru. Zaklęcie uniesie cel ważący do 150 kilogramów. Jeśli istota nie chce, by czar na nią zadziałał, musi wykonać udany rzut obronny na Kondycję.<br><br>Cel zaklęcia może się przemieszczać, odpychając się od obiektów lub powierzchni znajdujących się w jego zasięgu (ściana, sufit), albo przyciągając się do nich, jakby się wspinał. W swojej turze możesz zmniejszyć lub zwiększyć wysokość celu o 6 metrów. Jeśli celem zaklęcia jesteś ty, to możesz przemieścić się w górę lub w dół w ramach swojego ruchu w turze. W innym przypadku możesz użyć swojej akcji, aby przemieścić unoszący się cel, który musi pozostać w zasięgu czaru. <br><br>Jeżeli w momencie zakończenia czaru, jego cel nadal unosi się w powietrzu, to łagodnie opada na ziemię.";"Zaklinacz"
"2";"NIEWIDZIALNOŚĆ";" Iluzje, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (rzęsa zatopiona w gumie arabskiej)";" Koncentracja, do 1 godziny";" Istota, której dotykasz, staje się niewidzialna na czas trwania czaru. Całe jej wyposażenie i odzienie również jest niewidzialne, dopóki się na niej znajduje. Zaklęcie kończy się, gdy jego cel wykona atak lub rzuci czar.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórę co najmniej 3. kręgu, za każdy krąg powyżej 2., możesz objąć zaklęciem dodatkową istotę. ";"Zaklinacz"
"2";"PAJĘCZA WSPINACZKA";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (kropla smoły i pająk)";" Koncentracja, do 1 godziny";" Przychylna, dotknięta przez ciebie istota, zyskuje do końca trwania czaru zdolność poruszania się w górę, w dół i w poprzek pionowych powierzchni oraz chodzenia po suficie do góry nogami. Cel zaklęcia zachowuje przy tym wolne ręce, a jego szybkość wspinania się jest równa jego szybkości chodzenia.";"Zaklinacz"
"2";"PAJĘCZYNA";" Przywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (odrobina sieci pajęczej)";" Koncentracja, do 1 godziny";" Sprowadzasz pajęczynę, która wypełnia obszar w kształcie sześcianu o boku 6 metrów i czyni go trudnym terenem o ograniczonej widoczności. Musi zostać rozpięta między dwoma obiektami, ułożona na podłodze, ścianie lub suficie. Pajęczyna na powierzchni płaskiej ma głębokość 1,5m. Każde stworzenie rozpoczynające w pajęczynie swoją turę, lub wchodzące do niej w swojej turze, wykonuje rzut obronny na Zręczność. W przypadku niepowodzenia, stworzenie zostaje unieruchomione, dopóki pozostaje w sieci, albo się wyswobodzi.<br><br>Unieruchomione stworzenie może w ramach swojej akcji wykonać test Siły o ST rzutu obronnego przeciw twoim czarom. Uwalnia się, gdy odniesie sukces. Pajęczyna jest łatwopalna. Fragment sieci w kształcie sześcianu o boku 1,5m wystawiony na działania ognia, spala się w ciągu jednej rundy, zadając istotom rozpoczynającym w nim swoją turę 2k4 obrażeń od ognia.";"Zaklinacz"
"2";"PORYW WIATRU";" Wywoływanie, 2. krąg";" 1 akcja";" Na siebie (prosta o długości 18 metrów)";" W, S, M (nasiono ze strąka)";" Koncentracja, do 1 minuty";" Wywołujesz podmuch silnego wiatru, który wieje od ciebie w wybranym kierunku, tworząc prostą o długości 18 metrów i szerokości 3 metrów. Wiatr wieje przez cały czas działania czaru. Każda istota rozpoczynająca swoją turę w jego obszarze, musi wykonać rzut obronny na Siłę, W przypadku niepowodzenia, zostanie odepchnięta od ciebie o 4,5 metra zgodnie z kierunkiem wiatru. Istoty znajdujące się w obszarze czaru i próbujące się do ciebie zbliżyć, muszą zużyć dodatkowy metr szybkości za każdy przebyty metr. Wiatr rozwiewa gaz i opary, a także gasi świece, pochodnie i podobne niechronione płomienie na swoim obszarze. Sprawia, że chroniony płomień (na przykład latarni) pełga niespokojnie i ma 50% szansy na to, że zgaśnie. Podczas trwania czaru w ramach akcji dodatkowej w swojej turze, możesz zmienić kierunek, w którym wieje od ciebie wiatr.";"Zaklinacz"
"2";"POWIĘKSZENIE/POMNIEJSZENIE";" Przemiany, 2. krąg";" 1 akcja";" 9 metrów";" W, S, M (szczypta sproszkowanego żelaza)";" Koncentracja, do 1 minuty";" Powodujesz, że istota lub rzecz widoczna w zasięgu czaru ulega powiększeniu lub pomniejszeniu na czas trwania czaru. Wybierz stworzenie lub obiekt, który nie jest noszony ani trzymany. Jeżeli cel nie chce poddać się działaniu zaklęcia, wykonuje rzut obronny na Kondycję. Udany rzut oznacza, że czar nie zadziała.<br>Gdy celem jest istota, jej wyposażenie zmienia rozmiar wraz z nią. Wszystko, co upuści, powraca natychmiast do swojego naturalnego rozmiaru.<br>*Powiększenie. Wszystkie wymiary celu się podwajają, a waga zwiększa się ośmiokrotnie. Wzrost powoduje zwiększenie rozmiaru o jeden stopień. Jeśli miejsce nie pozwala na podwojenie wielkości celu, przyjmuje on maksymalny rozmiar możliwy w danej przestrzeni. Ułatwienie w testach Siły i opartych na niej rzutach obronnych. Póki trzymana broń jest powiększona, zadaje + 1k4 obrażeń. <br>*Pomniejszenie. Wszystkie wymiary celu zmniejszają się dwukrotnie, a waga spada ośmiokrotnie. Powoduje zmniejszenie o jeden stopień. Utrudnienie w testach Siły i opartych na niej rzutach obronnych. Póki trzymana broń jest pomniejszona, zadaje o 1k4 obrażeń mniej (minimalnie 1).";"Zaklinacz"
"2";"ROZMYCIE";" Iluzje, 2. krąg";" 1 akcja";" Na siebie";" W";" Koncentracja, do 1 minuty";" Twoja sylwetka w oczach wszystkich, którzy cię widzą, staje się rozmyta, niestabilna i niewyraźna. Podczas działania czaru, przeciwnicy mają utrudnienie w testach ataku przeciwko tobie. Istota jest odporna na ten efekt, jeśli nie polega na wzorku, np. dzięki ślepowidzeniu, lub potrafi przejrzeć iluzję, np. dzięki zdolności prawdziwego widzenia.";"Zaklinacz"
"2";"SUGESTIA";" Uroki, 2. krąg ";" 1 akcja";" 9 metrów";" W, M (język węża i plaster miodu lub kropla słodkiego olejku)";" Koncentracja, do 8 godzin";" Wybierz istotę, która może cię usłyszeć i zrozumieć. Wpływasz na jej umysł i w jednym lub dwóch zdaniach sugerujesz jej kierunek działań. Istoty odporne na zauroczenie są niepodatne. Sugestia musi być sformułowana w taki sposób, by brzmiała rozsądnie. Zaklęcie skończy się, jeśli każesz komuś dźgnąć się nożem, rzucić się na włócznię, podpalić się, albo w inny sposób zaszkodzić samemu sobie.<br>Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia działa zgodnie z twoją sugestią najlepiej jak potrafi. Może to robić przez cały czas trwania zaklęcia, chyba że sugerowane działanie da się ukończyć wcześniej - wówczas ukończenie zadania sprawi, że zaklęcie dobiegnie końca. Możesz określić warunki, w których sugerowane działanie ma zostać rozpoczęte. Przykładowo, możesz zasugerować rycerce, by oddała swego rumaka pierwszemu napotkanemu żebrakowi. Jeśli w czasie trwania czaru okoliczności nie wystąpi, działanie nie zostanie podjęte...<br><br>Podręcznik gracza str.267<br><br>";"Zaklinacz"
"2";"TRZASK";" Wywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (odłamek miki)";" Natychmiastowy";" Z punktu, który widzisz w zasięgu czaru, dobywa się nagły, głośny i boleśnie intensywny dźwięk. Każda istota znajdująca się w obrębie strefy o promieniu 3m wokół tego punktu, musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 3k8 obrażeń od dźwięku. Udany rzut zmniejsza obrażenia o połowę. Stworzenia z materii nieorganicznej, takiej jak kamień, kryształ lub metal, mają w tym rzucie utrudnienie. Obrażenia otrzymują również znajdujące się w zasięgu czaru niemagiczne obiekty, które ni są noszone lub trzymane. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz zadawane obrażenia o 1k8.";"Zaklinacz"
"2";"UNIERUCHOMIENIE OSOBY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz humanoida, którego widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Pod koniec każdej swojej tury może ponowić rzut obronny<br>na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć czarem jednego dodatkowego humanoida. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9m od siebie.<br>";"Zaklinacz"
"2";"UROJONA SIŁA";" Iluzje, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (trochę runa)";" Koncentracja, do 1 minuty";" Wywołujesz iluzję w umyśle istoty, którą widzisz. Musi ona wykonać rzut obronny na Inteligencję. W przypadku niepowodzenia, tworzysz urojony obiekt, stworzenie lub inne zjawisko, które nie jest większe niż sześcian o boku 3m i widoczne tylko dla istoty będącej celem czaru. Zaklęcie nie działa na konstrukty i nieumarłych. Halucynację obejmuje również dźwięk, temperaturę i inne bodźce odbierane jedynie przez zaczarowaną istotę. Cel zaklęcia może przeznaczyć<br>swoją akcję na zbadanie widziadła i wykonanie testu Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Sukces oznacza, że rozpoznał iluzję i czar dobiega końca. Istota znajdująca się pod wpływem zaklęcia, traktuje jego wytwór jako realny. Próbuje racjonalizować jakiekolwiek luki w logice pojawiające się w interakcji z widziadłem. Omamiona istota jest tak pewna iluzorycznego tworu, że może nawet otrzymać od niego obrażenia. W każdej rundzie w twojej turze widziadło może zadać 1k6 obrażeń psychicznych omamionej istocie, jeśli znajduje się ona na jego obszarze lub w obrębie 1,5m od niego...<br><br>Podręcznik gracza str.275";"Zaklinacz"
"2";"WIDZENIE NIEWIDZIALNEGO";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (szczypta talku i odrobina sproszkowanego srebra)";" 1 godzina";" Podczas działania tego czaru, widzisz niewidzialne istoty i obiekty tak, jakby były widoczne, a także możesz spoglądać w Sferę Eteryczną. Eteryczne istoty i obiekty jawią ci się jako widmowe i przejrzyste.";"Zaklinacz"
"2";"WIDZENIE W CIEMNOŚCI";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (agat lub szczypta suszonej marchwi)";" 8 godzin";" Dotykasz przychylnej istoty i zapewniasz jej możliwość widzenia w mroku. W czasie trwania czaru, ma ona zdolność widzenia w ciemności na odległość 18m.";"Zaklinacz"
"2";"WYKRYCIE MYŚLI";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (sztuka miedzi)";" Koncentracja, do 1 minuty";" Gdy rzucasz to zaklęcie oraz w ramach swojej akcji w każdej turze podczas jego trwania, możesz czytać w myślach istoty, którą widzisz w obrębie 9 metrów. Nie działa na istoty o Inteligencji mniejszej niż 4 lub nie znające żadnego języka. Wykorzystując swoją akcję, możesz przenieść uwagę na myślach innej istoty lub pogłębić myśli obecnego celu. Jeżeli badasz głębiej, cel wykonuje rzut obronny na Mądrość. W przypadku niepowodzenia – poznajesz jego motywację, stan emocjonalny i sprawę istotną w jego umyśle. Udany rzut obronny kończy działanie zaklęcia. Istota zdaje sobie sprawę, że badasz jej umysł. Jeśli nie przeniesiesz uwagi na umysł kogoś innego, to w ramach swojej akcji może ona wykonać z tobą test sporny na Inteligencję. Jeśli wygra, czar się kończy. <br>Przydatne podczas przesłuchań oraz do wykrywania obecności inteligentnych stworzeń, których nie widzisz. Możesz nasłuchiwać myśli w obrębie 9m od siebie...<br><br>Podręcznik gracza str.281";"Zaklinacz"
"2";"WYPALAJĄCY PROMIEŃ";" Wywoływanie, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Tworzysz 3 ogniste promienie i strzelasz nimi w stworzenia w zasięgu czaru. Możesz wszystkie skierować w ten sam cel lub w różne cele.<br><br>Wykonaj atak dystansowy czarem, osobny dla każdego promienia. Przy trafieniu cel otrzymuje 2k6 obrażeń od ognia.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 3. tworzysz dodatkowy promień.";"Zaklinacz"
"2";"WZMOCNIENIE CECHY";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (zwierzęce pióro lub futro)";" Koncentracja, do 1 godziny";" Wybierz jedną spośród dostępnych możliwości, istota zostanie objęta jej efektem na czas działania czaru. *Bycza siła. Cel ma ułatwienie w testach Siły, a jego udźwig ulega podwojeniu.<br>*Kocia zwinność. Cel ma ułatwienie w testach Zręczności oraz nie otrzymuje obrażeń od upadków z wysokości do 6m, o ile nie jest obezwładniony. <br>*Lisia przebiegłość. Cel ma ułatwienie w testach<br>Inteligencji. <br>*Orli majestat. Cel ma ułatwienie w testach Charyzmy. <br>*Niedźwiedzia wytrzymałość. Cel ma ułatwienie<br>w testach Kondycji i otrzymuje 2k6 tymczasowych PW, które znikają po zakończeniu działania czaru. <br>*Sowia mądrość. Cel ma ułatwienie w testach Mądrości. <br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, zakażcie krąg powyżej 2. możesz objąć czarem dodatkową istotę.";"Zaklinacz"
"2";"ZMIANA SIEBIE";" Przemiany, 2. krąg";" 1 akcja";" Na siebie";" W, S";" Koncentracja, do 1 godziny";" Przyjmujesz nowy kształt. Wybierz jedną spośród podanych możliwości. Jej efekty utrzymują się przez cały czas trwania zaklęcia. W tym czasie możesz również w ramach swojej akcji zrezygnować z aktualnie wybranej opcji i zastąpić ją inną.<br><br>* Naturalne bronie. Wykształcasz pazury, kły, kolce, rogi lub inną broń naturalną. Twoje ataki zadają 1k6 obrażeń kłutych, ciętych lub obuchowych, zależnie od jej rodzaju, a także masz biegłość w walce wręcz. Co więcej, twoja naturalna broń jest magiczna, więc zapewnia ci premię +1 do ataku i obrażeń.<br>*Organizm wodny. Dostosowujesz swoje ciało do życia w wodzie. Wykształcasz skrzela i błonę pławną. Możesz oddychać pod wodą i pływasz z szybkością równą szybkości chodzenia.<br>*Zmiana wyglądu. Określasz wygląd, wzrost, wagę, rysy twarzy, głos, długość i kolor włosów, odcień skóry i cechy szczególne. Możesz przyjąć wygląd innej rasy, choć nie zmieni to twoich statystyk. <br><br>Zmiana wyglądu nie wpływa też na twoją kategorię wielkości, a twój podstawowy kształt musi pozostać zbliżony, np. nie zrobisz z siebie czworonoga, jeśli jesteś dwunożny.";"Zaklinacz"
"3";"FORMA GAZOWA";" Przemiany, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (kawałek gazy i smużka dymu)";" Koncentracja, do 1 godziny";" Dotknięciem przemieniasz przychylną ci istotę i jej wyposażenie w kłąb mgły. Zaklęcie kończy się, gdy punkty wytrzymałości istoty spadną do 0. Bezcielesne stworzenia są niepodatne na ten czar.<br><br>W formie gazowej istota porusza się, latając z szybkością 3m. Może przebywać w miejscu zajmowanym przez inne stworzenie. Posiada odporność na obrażenia niemagiczne i ułatwienie w rzutach obronnych na Siłę, Zręczność i Kondycję. Może przeciskać się przez niewielkie otwory, wąskie szczeliny, a nawet małe pęknięcia, ale traktuje płyny, jakby były ciałem stałym. Istota w formie gazowej, nie może spać i unosi się w powietrzu nawet ogłuszona lub obezwładniona.<br><br>W formie mgły nie można mówić ani używać przedmiotów, a posiadanych rzeczy nie można upuścić, użyć ani oddziaływać na nie w inny sposób. Nie da się też atakować i rzucać zaklęć.";"Zaklinacz"
"3";"HIPNOTYCZNY WZÓR";" Iluzje, 3. krąg";" 1 akcja";" 36 metrów";" S, M (płonące kadzidełko albo kryształowa fiolka z fosforyzującą zawartością)";" Koncentracja, do 1 minuty";" Tworzysz wijący się barwny wzór, poruszający się w powietrzu w obrębie sześcianu o boku 9m. Wzór pojawia się na chwilę, po czym znika. Stworzenia w obszarze działania zaklęcia, które widzą wzór, muszą zdać rzut obronny na Mądrość, albo zostaną zauroczone na czas trwania zaklęcia. <br><br>Zauroczone istoty są traktowane jako obezwładnione, a ich szybkość wynosi 0.<br>Zauroczenie mija, jeśli istota otrzyma obrażenia albo ktoś przeznaczy swoją akcję, by wyrwać ją z otępienia.";"Zaklinacz"
"3";"JASNOWIDZENIE";" Wieszczenie, 3. krąg";" 10 minut";" 1,5 kilometra";" W, S, M (fokus o wartości co najmniej 100 sz – wysadzany klejnotami róg do słuchania, albo szklane oko do patrzenia)";" Koncentracja, do 10 minut";" Tworzysz niewidzialny czujnik w zasięgu czaru, w miejscu ci znajomym (odwiedzonym lub widzianym wcześniej), albo nieznanym, ale oczywistym (np. za drzwiami, za rogiem, w zagajniku). Czujnik  pozostanie tam przez czas trwania czaru. Nie można go zaatakować ani poddać żadnemu działaniu. <br>Podczas rzucania zaklęcia, określasz typ zmysłu, jakim ma dysponować czujnik - słuch czy wzrok. Możesz potem używać zmysłu czujnika tak, jakbyś był na jego miejscu. W ramach swojej akcji, możesz przełączać się między słuchaniem a<br>patrzeniem. <br>Istoty potrafiące dostrzec czujnik (np. mające zdolność prawdziwego widzenia lub korzystające z efektów czaru widzenia niewidzialnego), widzą świetlistą, niematerialną kulę wielkości twojej pięści.";"Zaklinacz"
"3";"JĘZYKI";" Wieszczenie, 3. krąg";" 1 akcja";" Dotyk";" W, M (mała gliniana figurka zigguratu)";" 1 godzina";" Dotykasz wybranej istoty i zapewniasz jej zdolność<br>rozumienia każdego języka. Ponadto, kiedy ona przemawia, rozumie ją każde słyszące ją stworzenie, które zna jakikolwiek język.";"Zaklinacz"
"3";"KULA OGNIA";" Wywoływanie, 3. krąg";" 1 akcja";" 45 metrów";" W, S, M (niewielka kulka nietoperzowego guana i siarki)";" Natychmiastowy";" Z twojego palca wskazującego wystrzeliwuje jasna smuga, która we wskazanym miejscu w zasięgu czaru z rykiem rozwija się w ognistą eksplozję. Każda istota znajdująca się w obrębie sfery o promieniu 6 metrów ze środkiem we wskazanym punkcie musi wykonać rzut obronny na Zręczność.  W przypadku niepowodzenia otrzymuje 8k6 obrażeń od ognia. Udany rzut zmniejsza obrażenia o połowę.<br><br>Ogień rozprzestrzenia się za rogi i załomy. Podpala łatwopalne obiekty, które nie są trzymane ani noszone.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3. zwiększasz obrażenia o 1k6.";"Zaklinacz"
"3";"LOT";" Przemiany, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (pióro ze skrzydła dowolnego ptaka)";" Koncentracja, do 1 minuty";" Dotykasz przychylnej istoty. Na czas trwania czaru, zyskuje ona szybkość lotu 18 metrów. Jeśli będzie w powietrzu, gdy czar dobiegnie końca, to spadnie, chyba, że będzie potrafiła temu zapobiec.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., możesz objąć czarem jedną dodatkową istotę.";"Zaklinacz"
"3";"MIGNIĘCIE";" Przemiany, 3. krąg";" 1 akcja";" Na siebie";" W, S";" 1 minuta";" W czasie trwania czaru pod koniec każdej swojej tury rzucasz k20. Gdy wypadnie co najmniej 11, znikasz ze sfery egzystencji, w której przebywałeś, i pojawiasz się w Sferze Eterycznej. (Czar nie działa, a jego komórka zostaje zużyta, jeśli znajdujesz się tam w chwili rzucania). Na początku twojej następnej tury i na koniec czasu trwania zaklęcia, jeśli przebywasz w Sferze Eterycznej, powracasz na wybrane przez siebie wolne miejsce, które widzisz w obrębie 3 metrów od punktu swojego zniknięcia. Jeśli na tym obszarze nie ma wolnego miejsca, pojawiasz się w najbliższym dostępnym (ustalanym losowo, jeśli dwa wolne miejsca są jednakowo blisko). W ramach swojej akcji możesz zakończyć<br>zaklęcie. <br><br>Przebywając w Sferze Eterycznej, widzisz i słyszysz, co się dzieje w sferze, z której przybyłeś, choć obraz ten jawi się w szarych barwach i widzisz jedynie na odległość 18 metrów. Możesz wchodzić w interakcje jedynie z istotami również przebywającymi w Sferze Eterycznej. Istoty ze sfery, z której zniknąłeś, nie mogą cię dostrzec ani wejść z tobą w interakcję, chyba że dysponują pozwalającą na to zdolnością.";"Zaklinacz"
"3";"OCHRONA PRZED ENERGIĄ";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 godziny";" Podczas trwania czaru, przychylne stworzenie jest odporne na obrażenia wybranego przez ciebie typu: od dźwięku, elektryczności, kwasy, ognia, albo zimna.";"Zaklinacz"
"3";"ODDYCHANIE POD WODĄ";" Przemiany, 3. krąg (rytuał)";" 1 akcja";" 9 metrów";" W, S, M (krótka trzcina lub kawałek słomy)";" 24 godziny";" Czar umożliwia oddychanie pod wodą dziesięciu wybranym, przychylnym istotom, które widzisz w zasięgu czaru. Istoty te mogą też nadal oddychać w normalny sposób.";"Zaklinacz"
"3";"PIORUN";" Wywoływanie, 3. krąg";" 1 akcja";" Na siebie (prosta o długości 30 metrów)";" W, S, M (odrobina futra oraz bursztynowy, kryształowy lub szklany pręt)";" Natychmiastowy";" Piorun uderza od ciebie w wybranym kierunku, tworząc prostą o długości 30 metrów i szerokości 1,5 metra. Każda istota, która się na niej znajdzie, wykonuje rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 8k6 obrażeń od elektryczności. Udany rzut zmniejsza obrażenia o połowę. <br><br>Piorun podpala łatwopalne rzeczy na swej drodze, o ile nie są przez kogoś trzymane lub noszone.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3. zwiększasz obrażenia o 1k6.";"Zaklinacz"
"3";"PRZECIWZAKLĘCIE";" Odpychanie, 3. krąg";" 1 reakcja podejmowana, gdy widzisz istotę rzucającą czar w obrębie 18 metrów";" 18 metrów";" S";" Natychmiastowy";" Próbujesz przerwać proces rzucania czaru przez inną istotę. Jeśli rzuca ona czar z kręgu 3. lub niższego, to jej zaklęcie kończy się fiaskiem i nie przynosi żadnych efektów. Jeśli jednak rzuca czar co najmniej 4. kręgu, wykonaj test swojej cechy bazowej. ST wynosi 10 + krąg czaru. Przy udanym teście, rozpraszasz rzucanie zaklęcia i nie przynosi ono żadnych efektów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, przerwane zaklęcie nie przynosi efektów, jeśli jego krąg nie przewyższa tego, z którego rzucasz przeciwzaklęcie.";"Zaklinacz"
"3";"PRZYSPIESZENIE";" Przemiany, 3. krąg";" 1 akcja";" 9 metrów";" W, S, M (wiórek z korzenia lukrecji)";" Koncentracja, do 1 minuty";" Wybierz przychylną istotę, którą widzisz w zasięgu czaru. Podczas działania zaklęcia porusza się ona z podwójną szybkością, otrzymuje modyfikator +2 KP, ma ułatwienie w rzutach obronnych na Zręczność oraz zyskuje dodatkową akcję w każdej swojej turze. Akcja ta może zostać wykorzystana tylko jako: Atak (pojedynczy), Odstąpienie, Sprint, Ukrycie się lub Użycie obiektu.<br><br>Kiedy czar dobiegnie końca, jego cel nie może się poruszyć ani wykonać akcji do końca swojej następnej tury, ponieważ dogania go własne zmęczenie.";"Zaklinacz"
