"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Bard"
"2";"KORONA OBŁĘDU";" Uroki, 2. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 minuty";" Wybierz humanoida, którego widzisz w zasięgu czaru. Musi on wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostanie przez ciebie zauroczony na czas trwania zaklęcia. Na głowie zauroczonej osoby pojawia się dziwaczna korona z żelaznych cierni, a w jej oczach lśni obłęd.<br><br>Zauroczona osoba w każdej swojej turze przed poruszeniem się, musi wykorzystać swoją akcję, by zaatakować wręcz inne stworzenie, które jej telepatycznie wskażesz. Jeśli nie wyznaczysz celu, lub żaden nie znajduje się w zasięgu zauroczonej osoby, to może ona zachowywać się normalnie. <br><br>Aby podtrzymać zaklęcie, musisz w kolejnych turach używać swojej akcji na utrzymanie kontroli nad celem. Co więcej, zauroczona istota może ponawiać rzut obronny na Mądrość, pod koniec każdej swojej tury. Gdy odniesie sukces, czar dobiega końca.";"Bard"
"2";"MAGICZNE USTA";" Iluzje, 2. krąg (rytuał)";" 1 minuta";" 9 metrów";" W, S, M (fragment plastra miodu i jadeitowy pył o wartości co najmniej 10 sz, zużywany)";" Do rozproszenia";" Umieszczasz wiadomość w obiekcie, która zostanie wymówiona gdy zaistnieją określone warunki. Wybierasz przedmiot, który nie jest trzymany ani noszony i wypowiadasz wiadomość, mieszczącą się w 25 słowach (może być przekazywana do 10 minut). Na końcu określasz okoliczności, które uruchomią przekaz. Kiedy te okoliczności zaistnieją, na obiekcie pojawiają się magiczne usta i wypowiadają wiadomość twoim głosem i z tą samą głośnością, z jaką ty mówiłeś. Jeśli wybrany obiekt posiada usta lub coś, co je przypomina (np. usta posągu), to magiczne usta nakładają się na nie tak, by przekaz zdawał<br>się płynąć z ust obiektu. Gdy rzucasz to zaklęcie, możesz zadecydować, czy zaklęcie zakończy się po przekazaniu wiadomości, czy pozostanie w miejscu, by przekazywać tę wiadomość w określonych warunkach. Okoliczności te mogą być sformułowane ogólnie lub mieć dowolny stopień szczegółowości, ale muszą być oparte na wizualnych lub dźwiękowych warunkach mających miejsce w obrębie 9 metrów od celu zaklęcia.";"Bard"
"2";"MNIEJSZE PRZWRÓCENIE";" Odpychanie, 2. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Dotykasz stworzenia i uwalniasz je od jednej dolegającej mu choroby bądź kończysz jeden ze stanów, w którym się znajduje - głuchoty, oślepienia, paraliżu albo zatrucia.";"Bard"
"2";"NIEWIDZIALNOŚĆ";" Iluzje, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (rzęsa zatopiona w gumie arabskiej)";" Koncentracja, do 1 godziny";" Istota, której dotykasz, staje się niewidzialna na czas trwania czaru. Całe jej wyposażenie i odzienie również jest niewidzialne, dopóki się na niej znajduje. Zaklęcie kończy się, gdy jego cel wykona atak lub rzuci czar.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórę co najmniej 3. kręgu, za każdy krąg powyżej 2., możesz objąć zaklęciem dodatkową istotę. ";"Bard"
"2";"ODNALEZIENIE OBIEKTU";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (rozwidlona gałązka)";" Koncentracja, do 10 minut";" Podajesz opis lub nazwę znanego ci obiektu. Wyczuwasz, w jakim kierunku się znajduje, o ile jest oddalony od ciebie nie więcej niż 300m. Jeśli jest w ruchu, dowiadujesz się, w jakim kierunku się przemieszcza.<br><br> Przy pomocy tego zaklęcia możesz odnaleźć konkretny znany ci obiekt, o ile widziałeś go przynajmniej raz z odległości do 9m. W innym wariancie możesz odszukać najbliższy obiekt określonego rodzaju (np. określoną część garderoby, biżuterię, mebel, narzędzie albo broń. <br><br>Czar nie zadziała, jeśli od poszukiwanej rzeczy (patrząc w linii<br>prostej), dzieli cię warstwa ołowiu o jakiejkolwiek grubości, nawet cienka blacha.";"Bard"
"2";"ODNALEZIENIE ZWIERZĄT LUB ROŚLIN";" Wieszczenie, 2. krąg (rytuał)";" 1 akcja";" Na siebie";" W,S,M (odrobina sierści psa gończego)";" Natychmiastowy";" Podajesz opis lub nazwę gatunku zwierzęcia lub rośliny. Słuchając w skupieniu głosu otaczającej cię natury, poznajesz kierunek i odległość dzielącą cię od najbliższego przedstawiciela danego gatunku w promieniu 7,5 km, o ile występują na tym obszarze.";"Bard"
"2";"ROZGRZANIE METALU";" Przemiany, 2. krąg";" 1 akcja";" 18 metrów";" W,S,M (kawałek żelaza, płomień)";" Koncentracja, do 1 minuty";" Wybierz wytworzony z metalu przedmiot (np. broń ciężką albo ciężki lub średni metalowy pancerz), który widzisz w zasięgu czaru. Sprawiasz, że nagrzewa się on do czerwoności. Kiedy rzucasz to zaklęcie, każda istota w bezpośrednio fizycznym kontakcie z tym przedmiotem otrzymuje 2k8 obrażeń od ognia. W trakcie działania czaru, możesz w ramach swojej akcji dodatkowej w swojej turze, ponawiać te obrażenia. <br>Jeśli jakaś istota trzyma lub nosi zaczarowany przedmiot i otrzymuje z tego powodu obrażenia, to musi wykonać udany rzut obronny na Kondycję. W przypadku niepowodzenia, upuszcza ten przedmiot, o ile to możliwe. Jeżeli tego nie zrobi, ma do początku twojej następnej tury utrudnienia  w testach ataku i testach cech.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz zadawane obrażenia o 1k8.";"Bard"
"2";"STREFA PRAWDY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" 10 minut";" Tworzysz magiczną strefę chroniącą przed fałszem na obszarze w kształcie sfery o promieniu 4,5 metra, z punktem wyjścia wskazanym w zasięgu czaru. Do końca działania zaklęcia, stworzenie wchodzące w jego obszar po raz pierwszy w swojej turze lub rozpoczynające w nim swoją turę, musi wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia nie może umyślnie skłamać, póki pozostaje w obszarze działania zaklęcia. Zdajesz sobie sprawę, czy stworzenie zdało ten test. czy nie. <br><br>Objęta czarem istota jest świadoma działania tego zaklęcia i może unikać odpowiedzi na pytania, na które normalnie odpowiedziałaby kłamstwem. Może też udzielać wymijających odpowiedzi, jeśli mieszczą się w granicach prawdy.";"Bard"
"2";"SUGESTIA";" Uroki, 2. krąg";" 1 akcja";" 9 metrów";" W, M (język węża i plaster miodu lub kropla słodkiego olejku)";" Koncentracja, do 8 godzin";" Wybierz istotę, która może cię usłyszeć i zrozumieć. Wpływasz na jej umysł i w jednym lub dwóch zdaniach sugerujesz jej kierunek działań. Istoty odporne na zauroczenie są niepodatne. Sugestia musi być sformułowana w taki sposób, by brzmiała rozsądnie. Zaklęcie skończy się, jeśli każesz komuś dźgnąć się nożem, rzucić się na włócznię, podpalić się, albo w inny sposób zaszkodzić samemu sobie.<br>Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia działa zgodnie z twoją sugestią najlepiej jak potrafi. Może to robić przez cały czas trwania zaklęcia, chyba że sugerowane działanie da się ukończyć wcześniej - wówczas ukończenie zadania sprawi, że zaklęcie dobiegnie końca. Możesz określić warunki, w których sugerowane działanie ma zostać rozpoczęte. Przykładowo, możesz zasugerować rycerce, by oddała swego rumaka pierwszemu napotkanemu żebrakowi. Jeśli w czasie trwania czaru okoliczności nie wystąpi, działanie nie zostanie podjęte...<br><br>Podręcznik gracza str.267<br><br>";"Bard"
"2";"TRZASK";" Wywoływanie, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (odłamek miki)";" Natychmiastowy";" Z punktu, który widzisz w zasięgu czaru, dobywa się nagły, głośny i boleśnie intensywny dźwięk. Każda istota znajdująca się w obrębie strefy o promieniu 3m wokół tego punktu, musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 3k8 obrażeń od dźwięku. Udany rzut zmniejsza obrażenia o połowę. Stworzenia z materii nieorganicznej, takiej jak kamień, kryształ lub metal, mają w tym rzucie utrudnienie. Obrażenia otrzymują również znajdujące się w zasięgu czaru niemagiczne obiekty, które ni są noszone lub trzymane. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., zwiększasz zadawane obrażenia o 1k8.";"Bard"
"2";"UNIERUCHOMIENIE OSOBY";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz humanoida, którego widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Pod koniec każdej swojej tury może ponowić rzut obronny<br>na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. możesz objąć czarem jednego dodatkowego humanoida. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9m od siebie.<br>";"Bard"
"2";"UROJONA SIŁA";" Iluzje, 2. krąg";" 1 akcja";" 18 metrów";" W, S, M (trochę runa)";" Koncentracja, do 1 minuty";" Wywołujesz iluzję w umyśle istoty, którą widzisz. Musi ona wykonać rzut obronny na Inteligencję. W przypadku niepowodzenia, tworzysz urojony obiekt, stworzenie lub inne zjawisko, które nie jest większe niż sześcian o boku 3m i widoczne tylko dla istoty będącej celem czaru. Zaklęcie nie działa na konstrukty i nieumarłych. Halucynację obejmuje również dźwięk, temperaturę i inne bodźce odbierane jedynie przez zaczarowaną istotę. Cel zaklęcia może przeznaczyć<br>swoją akcję na zbadanie widziadła i wykonanie testu Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Sukces oznacza, że rozpoznał iluzję i czar dobiega końca. Istota znajdująca się pod wpływem zaklęcia, traktuje jego wytwór jako realny. Próbuje racjonalizować jakiekolwiek luki w logice pojawiające się w interakcji z widziadłem. Omamiona istota jest tak pewna iluzorycznego tworu, że może nawet otrzymać od niego obrażenia. W każdej rundzie w twojej turze widziadło może zadać 1k6 obrażeń psychicznych omamionej istocie, jeśli znajduje się ona na jego obszarze lub w obrębie 1,5m od niego...<br><br>Podręcznik gracza str.275";"Bard"
"2";"WIDZENIE NIEWIDZIALNEGO";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (szczypta talku i odrobina sproszkowanego srebra)";" 1 godzina";" Podczas działania tego czaru, widzisz niewidzialne istoty i obiekty tak, jakby były widoczne, a także możesz spoglądać w Sferę Eteryczną. Eteryczne istoty i obiekty jawią ci się jako widmowe i przejrzyste.";"Bard"
"2";"WYCISZENIE EMOCJI";" Uroki, 2. krąg";" 1 akcja";" 18 metrów";" W, S";" Koncentracja, do 1 minuty";" Próbujesz stłumić silne emocje u grupy osób. Każdy humanoid znajdujący się w obszarze sfery o promieniu 6m wokół wybranego przez ciebie punktu w zasięgu czaru musi wykonać rzut obronny na Charyzmę, przy czym może<br>zdecydować się na porażkę w tym rzucie. W przypadku niepowodzenia wybierasz jeden z dwóch poniższych efektów.<br><br>*Możesz stłumić dowolny efekt powodujący zauroczenie lub przerażenie celu. Gdy twoje zaklęcie przestanie działać, wygaszony efekt powraca, o ile w międzyczasie sam nie dobiegł końca.<br>*Drugi efekt czaru sprawia , że jego cel staje się obojętny na wybrane istoty, wobec których był wrogi. Obojętność ta skończy się, gdy cel zaklęcia zostanie zaatakowany, skrzywdzony czarem lub gdy będzie świadkiem krzywdzenia jego przyjaciół. Gdy czar dobiega końca, uspokojona istota ponownie staje się wroga, chyba że MP zdecyduje inaczej.";"Bard"
"2";"WYKRYCIE MYŚLI";" Wieszczenie, 2. krąg";" 1 akcja";" Na siebie";" W, S, M (sztuka miedzi)";" Koncentracja, do 1 minuty";" Gdy rzucasz to zaklęcie oraz w ramach swojej akcji w każdej turze podczas jego trwania, możesz czytać w myślach istoty, którą widzisz w obrębie 9 metrów. Nie działa na istoty o Inteligencji mniejszej niż 4 lub nie znające żadnego języka. Wykorzystując swoją akcję, możesz przenieść uwagę na myślach innej istoty lub pogłębić myśli obecnego celu. Jeżeli badasz głębiej, cel wykonuje rzut obronny na Mądrość. W przypadku niepowodzenia – poznajesz jego motywację, stan emocjonalny i sprawę istotną w jego umyśle. Udany rzut obronny kończy działanie zaklęcia. Istota zdaje sobie sprawę, że badasz jej umysł. Jeśli nie przeniesiesz uwagi na umysł kogoś innego, to w ramach swojej akcji może ona wykonać z tobą test sporny na Inteligencję. Jeśli wygra, czar się kończy. <br>Przydatne podczas przesłuchań oraz do wykrywania obecności inteligentnych stworzeń, których nie widzisz. Możesz nasłuchiwać myśli w obrębie 9m od siebie...<br><br>Podręcznik gracza str.281";"Bard"
"2";"WZMOCNIENIE CECHY";" Przemiany, 2. krąg";" 1 akcja";" Dotyk";" W, S, M (zwierzęce pióro lub futro)";" Koncentracja, do 1 godziny";" Wybierz jedną spośród dostępnych możliwości, istota zostanie objęta jej efektem na czas działania czaru. *Bycza siła. Cel ma ułatwienie w testach Siły, a jego udźwig ulega podwojeniu.<br>*Kocia zwinność. Cel ma ułatwienie w testach Zręczności oraz nie otrzymuje obrażeń od upadków z wysokości do 6m, o ile nie jest obezwładniony. <br>*Lisia przebiegłość. Cel ma ułatwienie w testach<br>Inteligencji. <br>*Orli majestat. Cel ma ułatwienie w testach Charyzmy. <br>*Niedźwiedzia wytrzymałość. Cel ma ułatwienie<br>w testach Kondycji i otrzymuje 2k6 tymczasowych PW, które znikają po zakończeniu działania czaru. <br>*Sowia mądrość. Cel ma ułatwienie w testach Mądrości. <br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, zakażcie krąg powyżej 2. możesz objąć czarem dodatkową istotę.";"Bard"
"2";"ZWIERZĘCY POSŁANIEC";" Uroki, 2. krąg (rytuał)";" 1 akcja";" 9 metrów";" W,S,M (odrobina jedzenia)";" 24 godziny";" Za pomocą tego czaru jesteś w stanie przesłać wiadomość przy pomocy zwierzęcia. Wybierz Malutkie zwierzę, które widzisz w zasięgu czaru, takie jak nietoperz, sójka, bądź wiewiórka. Określasz znaną ci lokację oraz ogólnie opisujesz adresata, np.: “mężczyzna lub kobieta w mundurze straży miejskiej”, albo “rudowłosy krasnolud w szpiczastym kapeluszu”. Dołączasz do tego wiadomość złożoną maksymalnie z 25 słów. Zaklęte zwierzę podróżuje do miejsca przeznaczenia, przebywając ok. 80 km na dobę w przypadku latającego posłańca, bądź ok. 40 km na dobę w pozostałych przypadkach.<br><br>Gdy posłaniec osiągnie cel, dostarcza opisanej istocie twoją wiadomość, naśladując dźwięk twojego głosu. Posłaniec przemawia tylko do osoby odpowiadającej podanemu opisowi. Jeżeli w czasie trwania czaru nie zdoła dotrzeć do adresata, to wiadomość przepada, a zwierzę wraca do miejsca,w którym je zaczarowałeś.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2., przedłużasz działanie czaru o 48h.";"Bard"
"3";"CHATKA LEOMUNDA";" Wywoływanie, 3. krąg (rytuał)";" 1 minuta";" Na siebie (półkula o promieniu 3 metrów)";" W, S, M (kryształowy koralik)";" 8 godzin";" Wokół ciebie i ponad tobą pojawia się nieruchoma kopuła o promieniu 3 metrów, stworzona z energii i pozostająca w miejscu przez cały czas trwania czaru. Gdy opuścisz jej obszar, zaklęcie dobiegnie końca.<br><br> Pod kopułą wraz z tobą, zmieści się do 9 Średnich lub mniejszych stworzeń. Czar nie zadziała, jeśli rzucasz go an obszar, w którym przebywa większa istota lub większa liczba istot. Stworzenia i przedmioty znajdujące się wewnątrz kopuły podczas rzucania zaklęcia, mogą się przez nią swobodnie przemieszczać. Wszystkie inne nie mogą do niej wejść. Ścian kopuły nie mogą też naruszyć ani przeniknąć zaklęcia i efekty obszarowe. Niezależnie od pogody panującej<br>na zewnątrz, pod kopułą jest sucho i spokojnie.<br><br>Podczas trwania zaklęcia, możesz wydać polecenie, by we wnętrzu zapanował półmrok lub zapadła ciemność. Z zewnątrz kopuła jest nieprzezroczysta i ma wybrany przez ciebie kolor, jednak z jej środka wszystko widać.";"Bard"
"3";"GLIF STRAŻNICZY";" Odpychanie, 3. krąg";" 1 godzina";" Dotyk";" W, S, M (kadzidło i diamentowy proszek - co najmniej 200sz)";" Do rozproszenia lub wyzwolenia";" Zapisujesz glif, który później wyzwoli magiczny efekt. Możesz umieścić go na otwartej powierzchni, albo ukryć go wewnątrz zamykanego przedmiotu. Glif może pokryć powierzchnię o średnicy do 3m. Obiekt z glifem musi zostać w jednym miejscu, ponieważ jeśli zostanie przemieszczony dalej niż 3m. glif zostaje złamany i zaklęcie kończy się bez efektu. Odnalezienie glifu wymaga udanego testu Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Rzucając zaklęcie, określasz, w jakich okolicznościach glif<br>zostanie uruchomiony.<br>Gdy zapisujesz glif, wybierz między wariantem<br>wybuchowych run, albo zaklętego glifu - na stronie 222. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., zwiększasz obrażenia wybuchowych run o 1k8. Jeśli rzucasz czar w wariancie zaklętego glifu, możesz przechować w nim zaklęcie z kręgu odpowiadającego komórce, którą wykorzystujesz do rzucenia glifu strażniczego.";"Bard"
"3";"HIPNOTYCZNY WZÓR";" Iluzje, 3. krąg";" 1 akcja";" 36 metrów";" S, M (płonące kadzidełko albo kryształowa fiolka z fosforyzującą zawartością)";" Koncentracja, do 1 minuty";" Tworzysz wijący się barwny wzór, poruszający się w powietrzu w obrębie sześcianu o boku 9m. Wzór pojawia się na chwilę, po czym znika. Stworzenia w obszarze działania zaklęcia, które widzą wzór, muszą zdać rzut obronny na Mądrość, albo zostaną zauroczone na czas trwania zaklęcia. <br><br>Zauroczone istoty są traktowane jako obezwładnione, a ich szybkość wynosi 0.<br>Zauroczenie mija, jeśli istota otrzyma obrażenia albo ktoś przeznaczy swoją akcję, by wyrwać ją z otępienia.";"Bard"
"3";"JASNOWIDZENIE";" Wieszczenie, 3. krąg";" 10 minut";" 1,5 kilometra";" W, S, M (fokus o wartości co najmniej 100 sz – wysadzany klejnotami róg do słuchania, albo szklane oko do patrzenia)";" Koncentracja, do 10 minut";" Tworzysz niewidzialny czujnik w zasięgu czaru, w miejscu ci znajomym (odwiedzonym lub widzianym wcześniej), albo nieznanym, ale oczywistym (np. za drzwiami, za rogiem, w zagajniku). Czujnik  pozostanie tam przez czas trwania czaru. Nie można go zaatakować ani poddać żadnemu działaniu. <br>Podczas rzucania zaklęcia, określasz typ zmysłu, jakim ma dysponować czujnik - słuch czy wzrok. Możesz potem używać zmysłu czujnika tak, jakbyś był na jego miejscu. W ramach swojej akcji, możesz przełączać się między słuchaniem a<br>patrzeniem. <br>Istoty potrafiące dostrzec czujnik (np. mające zdolność prawdziwego widzenia lub korzystające z efektów czaru widzenia niewidzialnego), widzą świetlistą, niematerialną kulę wielkości twojej pięści.";"Bard"
"3";"JĘZYKI";" Wieszczenie, 3. krąg";" 1 akcja";" Dotyk";" W, M (mała gliniana figurka zigguratu)";" 1 godzina";" Dotykasz wybranej istoty i zapewniasz jej zdolność<br>rozumienia każdego języka. Ponadto, kiedy ona przemawia, rozumie ją każde słyszące ją stworzenie, które zna jakikolwiek język.";"Bard"
"3";"NADANIE WIADOMOŚCI";" Wywoływanie, 3. krąg";" 1 akcja";" Nieograniczony";" W, S, M (krótki kawałek cienkiego, miedzianego drutu)";" 1 runda";" Wysyłasz do znanej ci istoty krótką wiadomość, liczącą maksymalnie 25 słów. Usłyszy ją ona w głowie, a jeśli cię zna, rozpozna ciebie jako nadawcę. Może natychmiast udzielić ci odpowiedzi tą samą drogą. Zaklęcie umożliwia zrozumienie twojej wiadomości istotom o wartości Inteligencji co najmniej 1.<br><br>Wiadomość możesz nadać na dowolną odległość, również do innych sfer egzystencji, jednakże gdy adresat przebywa w innej sferze egzystencji, istnieje 5% ryzyka, że wiadomość nie dotrze.";"Bard"
"3";"NAŁOŻENIE KLĄTWY";" Nekromancja, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 minuty";" Dotykasz stworzenia, które musi wykonać udany rzut obronny na Mądrość, albo zostanie przeklęte na czas trwania zaklęcia. Gdy rzucasz czar, ustalasz naturę klątwy: <br>1.Wybierasz dowolną cechę, w której testach i rzutach obronnych, przeklęta istota będzie miała utrudnienie. <br>2.Istota ma utrudnienie w testach ataku przeciw tobie. <br>3.Przeklęta istota na początku każdej swojej tury, wykonuje rzut obronny na Mądrość. W przypadku niepowodzenia, nie robi nic w ramach swojej akcji w tej turze. <br>4.Twoje ataki i zaklęcia zadają przeklętej istocie dodatkowe 1k8 obrażeń nekrotycznych. Efekt ten można usunąć czarem zdjęcie klątwy. Za zgodą<br>MP, możesz nałożyć klątwę o innym efekcie, przy czym nie powinien być on potężniejszy od tych opisanych powyżej. W kwestii działania takiej klątwy, decyzja należy do MP...<br><br>Podręcznik gracza str.237<br><br>";"Bard"
"3";"NIEWYKRYWALNOŚĆ";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (szczypta diamentowego pyłu o wartości 25 sz, którym należy obsypać cel, zużywana przez zaklęcie)";" 8 godzin";" Na czas trwania zaklęcia, ukrywasz dotknięty cel przed magią wieszczenia. Celem może być przychylne stworzenie, miejsce albo obiekt, którego żaden z wymiarów nie przekracza 3 metrów.<br><br>Chronionego tym zaklęciem celu nie można objąć magią wieszczenia ani wykryć magicznymi czujnikami.";"Bard"
"3";"POZÓR ŚMIERCI";" Nekromancja, 3. krąg (rytuał)";" 1 akcja";" Dotyk";" W, S, M (szczypta cmentarnej ziemi)";" 1 godzina";" Dotykasz przychylnej istoty i wprowadzasz ją w stan nieodróżnialny od śmierci. <br><br>Przez cały czas trwania czaru, lub do chwili, w której wykorzystasz swoją akcję na dotknięcie celu i zakończenie czaru, istota nim objęta wydaje się martwa, co wykazuje każde zewnętrzne badanie oraz zaklęcie określające stan celu. Istota jest oślepiona i obezwładniona, a jej szybkość spada do 0. Ma odporność na wszelkie obrażenia poza psychicznymi. <br><br>Jeżeli cel był chory lub zatruty podczas rzucania zaklęcia, albo został zarażony lub zatruty w trakcie jego trwania, to działanie choroby bądź trucizny zostaje wstrzymane do zakończenia czaru.";"Bard"
"3";"ROZMAWIENIE Z ROŚLINAMI";" Przemiany, 3. krąg";" 1 akcja";" Na siebie (okrąg o promieniu 9 metrów)";" W,S";" 10 minut";" Budzisz ograniczoną świadomość w roślinach znajdujących się do 9m od ciebie, obdarzając je zdolnością porozumiewania się z tobą i wypełniania twoich prostych poleceń. Możesz pytać rośliny oo wydarzenia, które miały miejsce w obrębie czaru w ciągu minionego dnia, i zdobywać informacje o przechodzących zwierzętach, pogodzie i innych zaistniałych okolicznościach.<br>Możesz również na czas działania czaru, zmienić trudny teren spowodowany roślinnością (zarośla, lub gęste podszycie), w zwyczajny teren albo odwrotnie. <br>Za zgodą MP, rośliny mogą być w stanie wykonać dla ciebie inne zadania. Zaklęcie nie umożliwia im wyciągnięcia z ziemi korzeni i przemieszczanie się, ale mogą one swobodnie poruszać gałęziami, łodygami i pnączami.<br>Jeśli na obszarze zaklęcia, znajduje się istota tylu roślinnego, to możesz się z nią porozumieć tak, jakbyście znali ten sam język, ale nie wywierasz na nią żadnego, magicznego wpływu. <br><br>Przy pomocy tego zaklęcia możesz spowodować, że rośliny stworzone oplątaniem, uwolnią uwięzioną istotę.";"Bard"
"3";"ROZMAWIANIE Z UMARŁYMI";" Nekromancja, 3. krąg";" 1 akcja";" 3 metry";" W, S, M (płonące kadzidło)";" 10 minut";" Budzisz namiastkę życia i rozumu w wybranych zwłokach znajdujących się w zasięgu czaru, dzięki czemu mogą odpowiadać na twoje pytania. Zwłoki muszą wciąż posiadać usta i nie mogą być nieumarłymi. Jeżeli zwłoki były celem tego zaklęcia w ciągu ostatnich 10 dni, to czar nie zadziała. <br><br>W czasie trwania czaru, możesz zadać zmarłemu do pięciu pytań. Zmarły wie jedynie to, co wiedział za życia, z uwzględnieniem znanych mu języków. Z reguły udziela odpowiedzi krótkich, zagadkowych lub powtarzających się odpowiedzi. Nie czuje się też zobligowany do mówienia prawdy, jeśli zachowujesz się wrogo, albo jeśli uzna cię za przeciwnika. Zaklęcie to nie  przywraca ciału duszy, lecz tylko je animuje. Z tego powodu, zmarły nie może zdobyć nowych<br>informacji, ani nie kojarzy niczego, co miało miejsce po jego śmierci. Nie może też snuć domysłów dotyczących przyszłości.";"Bard"
"3";"ROZPROSZENIE MAGII";" Odpychanie, 3. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wybierz jedną istotę, obiekt lub magiczny efekt w zasięgu czaru. Każde zaklęcie 3. lub niższego kręgu wpływające na nie, dobiega końca. Dla każdego zaklęcia z kręgu 4. lub wyższego, działającego na wybrany cel, wykonaj test swojej cechy bazowej o ST w wysokości 10 + krąg czaru. Po udanym rzucie, to zaklęcie zostaje rozproszone.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, automatycznie rozpraszasz działające na wybrany cel zaklęcia z kręgu równego, lub mniejszego niż ten, z którego rzucasz<br>rozproszenie magii.";"Bard"
"3";"ROZROST ROŚLIN";" Przemiany, 3. krąg";" 1 akcja lub 8 godzin";" 45 metrów";" W, S";" Natychmiastowy";" Przy pomocy tego zaklęcia, wzmagasz siły życiowe roślinności na określonym obszarze. Możesz to zrobić na dwa sposoby, zapewniając jej natychmiastowe lub długoterminowe korzyści.<br>Jeśli rzucasz to zaklęcie, używając pojedynczej akcji podstawowej, wybierz punkt w jego zasięgu. Zwyczajna roślinność w promieniu 30 metrów od niego, stanie się wybujała i przerośnięta. Stworzenia podróżujące przez ten obszar, muszą zużyć 4 metry szybkości, by przemieścić się o 1 metr. <br><br>W obrębie obszaru obejmowanego zaklęciem, możesz wskazać dowolnego rozmiaru strefy, które wyłączasz spod jego działania.<br><br>Jeżeli rzucasz to zaklęcie przez 8 godzin, użyźniasz ziemię w okolicy. Roślinność w promieniu 750 metrów od wskazanego<br>punktu w zasięgu czaru, zostaje na 1 rok wyjątkowo odżywione. Podczas zbiorów, wyda dwa razy większe plony niż zwykle.";"Bard"
