"0";"NAPRAWA";" Przemiany, sztuczka";" 1 minuta";" Dotyk";" W, S, M (dwa magnetyty)";" Natychmiastowy";" Czar naprawia pojedyncze uszkodzenie lub rozdarcie dotkniętego przedmiotu, np.: pęknięte ogniwo łańcucha, złamany na pół klucz, rozdarty płaszcz czy cieknący bukłak. Naprawiasz usterki, nie pozostawiając po nich śladu, o ile żaden z wymiarów uszkodzenia lub rozdarcia nie przekracza 30cm.<br><br>Przy pomocy tego czaru, możesz fizycznie naprawić magiczny przedmiot lub konstrukt, jednak nie przywracasz mu magicznego działania.";"Kleryk"
"3";"GLIF STRAŻNICZY";" Odpychanie, 3. krąg";" 1 godzina";" Dotyk";" W, S, M (kadzidło i diamentowy proszek - co najmniej 200sz)";" Do rozproszenia lub wyzwolenia";" Zapisujesz glif, który później wyzwoli magiczny efekt. Możesz umieścić go na otwartej powierzchni, albo ukryć go wewnątrz zamykanego przedmiotu. Glif może pokryć powierzchnię o średnicy do 3m. Obiekt z glifem musi zostać w jednym miejscu, ponieważ jeśli zostanie przemieszczony dalej niż 3m. glif zostaje złamany i zaklęcie kończy się bez efektu. Odnalezienie glifu wymaga udanego testu Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Rzucając zaklęcie, określasz, w jakich okolicznościach glif<br>zostanie uruchomiony.<br>Gdy zapisujesz glif, wybierz między wariantem<br>wybuchowych run, albo zaklętego glifu - na stronie 222. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., zwiększasz obrażenia wybuchowych run o 1k8. Jeśli rzucasz czar w wariancie zaklętego glifu, możesz przechować w nim zaklęcie z kręgu odpowiadającego komórce, którą wykorzystujesz do rzucenia glifu strażniczego.";"Kleryk"
"3";"JASNOWIDZENIE";" Wieszczenie, 3. krąg";" 10 minut";" 1,5 kilometra";" W, S, M (fokus o wartości co najmniej 100 sz – wysadzany klejnotami róg do słuchania, albo szklane oko do patrzenia)";" Koncentracja, do 10 minut";" Tworzysz niewidzialny czujnik w zasięgu czaru, w miejscu ci znajomym (odwiedzonym lub widzianym wcześniej), albo nieznanym, ale oczywistym (np. za drzwiami, za rogiem, w zagajniku). Czujnik  pozostanie tam przez czas trwania czaru. Nie można go zaatakować ani poddać żadnemu działaniu. <br>Podczas rzucania zaklęcia, określasz typ zmysłu, jakim ma dysponować czujnik - słuch czy wzrok. Możesz potem używać zmysłu czujnika tak, jakbyś był na jego miejscu. W ramach swojej akcji, możesz przełączać się między słuchaniem a<br>patrzeniem. <br>Istoty potrafiące dostrzec czujnik (np. mające zdolność prawdziwego widzenia lub korzystające z efektów czaru widzenia niewidzialnego), widzą świetlistą, niematerialną kulę wielkości twojej pięści.";"Kleryk"
"3";"JĘZYKI";" Wieszczenie, 3. krąg";" 1 akcja";" Dotyk";" W, M (mała gliniana figurka zigguratu)";" 1 godzina";" Dotykasz wybranej istoty i zapewniasz jej zdolność<br>rozumienia każdego języka. Ponadto, kiedy ona przemawia, rozumie ją każde słyszące ją stworzenie, które zna jakikolwiek język.";"Kleryk"
"3";"KRĄG MAGII";" Odpychanie, 3. krąg";" 1 minuta";" 3 metry";" W, S, M (woda święcona, albo sproszkowane srebro i żelazo o wartości co najmniej 100 sz)";" 1 godzina";" Tworzysz walec magicznej energii o średnicy 3m i wysokości 6m, umiejscowiony na ziemi w punkcie, który widzisz w zasięgu czaru.<br>Wybierz jeden lub więcej typów istot, spośród następujących: czarty, fey, niebianie, nieumarli lub żywiołaki. Krąg będzie na nie wpływał w następujący sposób:<br>*Istota nie może dobrowolnie wejść w obszar walca niemagicznymi sposobami. Jeśli próbuje użyć w tym celu teleportacji lub podróży między astralnej, musi najpierw wykonać udany rzut obronny na Charyzmę.<br>*Istota ma utrudnienie w testach ataku przeciw celom przebywającym wewnątrz walca...<br><br>Podręcznik gracza str.229<br>";"Kleryk"
"3";"MASOWE KOJĄCE SŁOWO";" Wywoływanie, 3. krąg";" 1 akcja dodatkowa";" 18 metrów";" W";" Natychmiastowy";" Gdy wypowiadasz uzdrawiające słowa, do 6 wybranych istot, które widzisz w zasięgu czaru, wracają PW w liczbie 1k4 + twój modyfikator z cechy bazowej. Zaklęcie nie działa na kostuchy i umarłych.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., przywracasz dodatkowo 1k4 PW.";"Kleryk"
"3";"NADANIE WIADOMOŚCI";" Wywoływanie, 3. krąg";" 1 akcja";" Nieograniczony";" W, S, M (krótki kawałek cienkiego, miedzianego drutu)";" 1 runda";" Wysyłasz do znanej ci istoty krótką wiadomość, liczącą maksymalnie 25 słów. Usłyszy ją ona w głowie, a jeśli cię zna, rozpozna ciebie jako nadawcę. Może natychmiast udzielić ci odpowiedzi tą samą drogą. Zaklęcie umożliwia zrozumienie twojej wiadomości istotom o wartości Inteligencji co najmniej 1.<br><br>Wiadomość możesz nadać na dowolną odległość, również do innych sfer egzystencji, jednakże gdy adresat przebywa w innej sferze egzystencji, istnieje 5% ryzyka, że wiadomość nie dotrze.";"Kleryk"
"3";"NAŁOŻENIE KLĄTWY";" Nekromancja, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 minuty";" Dotykasz stworzenia, które musi wykonać udany rzut obronny na Mądrość, albo zostanie przeklęte na czas trwania zaklęcia. Gdy rzucasz czar, ustalasz naturę klątwy: <br>1.Wybierasz dowolną cechę, w której testach i rzutach obronnych, przeklęta istota będzie miała utrudnienie. <br>2.Istota ma utrudnienie w testach ataku przeciw tobie. <br>3.Przeklęta istota na początku każdej swojej tury, wykonuje rzut obronny na Mądrość. W przypadku niepowodzenia, nie robi nic w ramach swojej akcji w tej turze. <br>4.Twoje ataki i zaklęcia zadają przeklętej istocie dodatkowe 1k8 obrażeń nekrotycznych. Efekt ten można usunąć czarem zdjęcie klątwy. Za zgodą<br>MP, możesz nałożyć klątwę o innym efekcie, przy czym nie powinien być on potężniejszy od tych opisanych powyżej. W kwestii działania takiej klątwy, decyzja należy do MP...<br><br>Podręcznik gracza str.237<br><br>";"Kleryk"
"3";"OCHRONA PRZED ENERGIĄ";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 godziny";" Podczas trwania czaru, przychylne stworzenie jest odporne na obrażenia wybranego przez ciebie typu: od dźwięku, elektryczności, kwasy, ognia, albo zimna.";"Kleryk"
"3";"OŻYWIENIE";" Nekromancja, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (diamenty o wartości 300 sz)";" Natychmiastowy";" Dotykasz istoty, która umarła w ciągu ostatniej minuty. Wraca do życia z 1 PW.<br><br>Przy pomocy tego zaklęcia nie można przywołać istoty zmarłej ze starości ani odtworzyć utraconych części ciała.";"Kleryk"
"3";"POZÓR ŚMIERCI";" Nekromancja, 3. krąg (rytuał)";" 1 akcja";" Dotyk";" W, S, M (szczypta cmentarnej ziemi)";" 1 godzina";" Dotykasz przychylnej istoty i wprowadzasz ją w stan nieodróżnialny od śmierci. <br><br>Przez cały czas trwania czaru, lub do chwili, w której wykorzystasz swoją akcję na dotknięcie celu i zakończenie czaru, istota nim objęta wydaje się martwa, co wykazuje każde zewnętrzne badanie oraz zaklęcie określające stan celu. Istota jest oślepiona i obezwładniona, a jej szybkość spada do 0. Ma odporność na wszelkie obrażenia poza psychicznymi. <br><br>Jeżeli cel był chory lub zatruty podczas rzucania zaklęcia, albo został zarażony lub zatruty w trakcie jego trwania, to działanie choroby bądź trucizny zostaje wstrzymane do zakończenia czaru.";"Kleryk"
"3";"PROMIEŃ NADZIEI";" Odpychanie, 3. krąg";" 1 akcja";" 9 metrów";" W, S";" Koncentracja, do 1 minuty";" Czar napełnia otoczenie nadzieją i żywotnością. Wybierz dowolną liczbę istot znajdujących się w zasięgu. W trakcie działania czaru mają ułatwienie w rzutach obronnych na Mądrość i w rzutach obronnych przeciw śmierci oraz odzyskują maksymalną możliwą liczbę PW zapewniają przez jakiekolwiek leczenie.";"Kleryk"
"3";"ROZMAWIANIE Z UMARŁYMI";" Nekromancja, 3. krąg";" 1 akcja";" 3 metry";" W, S, M (płonące kadzidło)";" 10 minut";" Budzisz namiastkę życia i rozumu w wybranych zwłokach znajdujących się w zasięgu czaru, dzięki czemu mogą odpowiadać na twoje pytania. Zwłoki muszą wciąż posiadać usta i nie mogą być nieumarłymi. Jeżeli zwłoki były celem tego zaklęcia w ciągu ostatnich 10 dni, to czar nie zadziała. <br><br>W czasie trwania czaru, możesz zadać zmarłemu do pięciu pytań. Zmarły wie jedynie to, co wiedział za życia, z uwzględnieniem znanych mu języków. Z reguły udziela odpowiedzi krótkich, zagadkowych lub powtarzających się odpowiedzi. Nie czuje się też zobligowany do mówienia prawdy, jeśli zachowujesz się wrogo, albo jeśli uzna cię za przeciwnika. Zaklęcie to nie  przywraca ciału duszy, lecz tylko je animuje. Z tego powodu, zmarły nie może zdobyć nowych<br>informacji, ani nie kojarzy niczego, co miało miejsce po jego śmierci. Nie może też snuć domysłów dotyczących przyszłości.";"Kleryk"
"3";"ROZPROSZENIE MAGII";" Odpychanie, 3. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wybierz jedną istotę, obiekt lub magiczny efekt w zasięgu czaru. Każde zaklęcie 3. lub niższego kręgu wpływające na nie, dobiega końca. Dla każdego zaklęcia z kręgu 4. lub wyższego, działającego na wybrany cel, wykonaj test swojej cechy bazowej o ST w wysokości 10 + krąg czaru. Po udanym rzucie, to zaklęcie zostaje rozproszone.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, automatycznie rozpraszasz działające na wybrany cel zaklęcia z kręgu równego, lub mniejszego niż ten, z którego rzucasz<br>rozproszenie magii.";"Kleryk"
"3";"SPACER PO WODZIE";" Przemiany, 3. krąg rytuał";" 1 akcja";" 9 metrów";" W, S, M (kawałek korka)";" 1 godzina";" Ten czar zapewnia zdolność poruszania się po powierzchni cieczy lub podobnej substancji - wody, kwasu, błota, śniegu, ruchomych piasków, a nawet lawy - jakby była bezpiecznym stałym gruntem (choć istota chodząca po lawie wciąż może otrzymać obrażenia od gorąca). Możesz zapewnić tę zdolność na czas trwania czaru maksymalnie 10 przychylnym ci istotom, które widzisz w zasięgu.<br><br>Jeżeli obejmiesz zaklęciem istotę zanurzoną w płynie, to zostanie ona wyniesiona na powierzchnię z prędkością 18 m na rundę.";"Kleryk"
"3";"STWORZENIE JADŁA I WODY";" Przywoływanie, 3. krąg";" 1 akcja";" 9 metrów";" W, S";" Natychmiastowy";" Tworzysz 25 kg żywności oraz 100 l wody, umiejscawiając je na ziemi, albo w pojemnikach w zasięgu czaru. Ilość ta wystarcza, by wyżywić 15 humanoidów lub 5 wierzchowców przez 24h.<br><br>Jedzenie jest mdłe, ale pożywne, a niezjedzone ulega zepsuciu po 24h. Woda jest czysta i się nie psuje.";"Kleryk"
"3";"ŚWIATŁO DNIA";" Wywoływanie, 3. krąg";" 1 akcja";" 18 metrów";" W, S";" 1 godzina";" Z wybranego punktu w zasięgu czaru, wyłania się kula jasnego światła o promieniu 18m.<br><br>Jeśli jako cel zaklęcia wskażesz przedmiot, który trzymasz, albo taki, którego nie trzyma ani nie nosi ktoś inny, to światło dobywa się z tego przedmiotu i przemieszcza się wraz z nim. Można je stłumić, zakrywając całkowicie świecący obiekt czymś nieprzezroczystym, np miską lub hełmem.<br><br>W przypadku nawet częściowego nakładania się obszaru tego czaru na obszar ciemności stworzonej zaklęciem kręgu 3. lub niższego, zaklęcie tworzące ciemność zostaje rozproszone.";"Kleryk"
"3";"WTOPIENIE W KAMIEŃ";" Przemiany, 3. krąg (rytuał)";" 1 akcja";" Dotyk";" W, S";" 8 godzin";" Wkraczasz w kamienny blok lub powierzchnię, o ile są wystarczająco duże, by zmieścić cię w całości, i na czas trwania czaru stapiasz siebie i swoje wyposażenie z kamieniem. Wykorzystując swój ruch, wchodzisz w kamień w miejscu, którego możesz dotknąć. Nic nie zdradza twojej obecności w kamieniu i nie sposób cię wykryć niemagicznymi zmysłami. Gdy jesteś stopiony z kamieniem, nie widzisz, co dzieje się na zewnątrz niego, i masz utrudnienie we wszystkich testach Mądrości (Percepcja) przeprowadzonych, by usłyszeć dźwięki z zewnątrz. Jesteś świadom upływu czasu i możesz rzucać na siebie zaklęcia. Możesz przeznaczyć swój ruch na opuszczenie kamienia w miejscu, w którym do niego wszedłeś, co powoduje, ze czar się kończy. Poza tym, nie możesz się ruszać. Niewielkie uszkodzenia kamienia nie szkodzą ci, ale jego częściowe zniszczenie lub zmiana jego kształtu (powodująca, że przestaniesz się w nim mieścić), wypycha cię z kryjówki, zadając ci 6k6 obrażeń obuchowych. Całkowite zniszczenie kamienia (lub jego przemiana w inną substancję), również cię z niego usuwa i zadaje 50 obrażeń obuchowych. Wyparty z kamienia padasz powalony w wolnym miejscu, najbliższym punktu wejścia do kamienia.";"Kleryk"
"3";"ZDJĘCIE KLĄTWY";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Pod twoim dotknięciem, kończą się wszelkie klątwy nałożonej na istotę lub obiekt.<br><br>Jeżeli tym obiektem jest przeklęty, magiczny przedmiot, to jego klątwa trwa, ale rzucone zaklęcie zrywa jego powiązanie z ofiarą, tak że może go ona zdjąć lub wyrzucić.";"Kleryk"
"4";"KAMIENNY KSZTAŁT";" Przemiany, 4. krąg";" 1 akcja";" Dotyk";" W, S, M (miękka glina ukształtowana z grubsza na podobieństwo żądanego kształtu)";" Natychmiastowy";" Dotykasz kamiennego obiektu rozmiaru Średniego lub mniejszego, albo części kamienia, której żaden wymiar nie przekracza 1,5 metra, po czym dowolnie je formujesz.<br><br>Przykładowo, możesz uformować broń, posążek czy skrzynię z dużego kamienia albo otworzyć niewielkie przejście w murze, o ile nie jest on grubszy niż 1,5 metra.<br><br>Możesz także przekształcić kamienne drzwi lub ich futrynę tak, że nie dadzą się już otworzyć. Stworzony obiekt może mieć do dwóch zawiasów i zasuwę, ale bardziej zaawansowane elementy mechaniczne są niewykonalne.";"Kleryk"
"4";"KONTROLA WODY";" Przemiany, 4. krąg";" 1 akcja";" 90 metrów";" W, S, M (kropla wody, szczypta pyłu)";" Koncentracja, do 10 minut";" Kontrolujesz zbiornik wody mieszczący się w obrębie sześcianu o boku 30m. Wybierasz jeden efekt, w ramach akcji w swojej turze możesz go powtórzyć, albo wybrać inny.<br>*Powódź. <br>*Rozdzielenie wód. <br>*Zawrócenie biegu. <br>*Wir. <br><br>Dokładne działanie tej opcji, opisane na stronie 228.";"Kleryk"
"4";"ODNALEZIENIE ISTOTY";" Wieszczenie, 4. krąg";" 1 akcja";" Na siebie";" W, S, M (odrobina sierści psa gończego)";" Koncentracja, do 1 godziny";" Podajesz opis lub nazwę znanej ci istoty. <br> Wyczuwasz, w jakim kierunku się znajduje, o ile nie jest oddalona od ciebie o więcej niż 300 metrów. Jeśli się porusza, dowiadujesz się, w<br>jakim kierunku. <br><br>Przy pomocy tego czaru, możesz odnaleźć konkretną znaną istotę albo najbliższe stworzenie określonego rodzaju (na przykład człowieka albo jednorożca), o ile widziałeś takie przynajmniej raz z odległości do 9 metrów. Jeśli forma poszukiwanej istoty została zmieniona, na przykład zaklęciem polimorfia, to ten czar jej nie odnajdzie. Czar nie zadziała także, jeśli od poszukiwanej istoty dzieli cię płynąca woda o szerokości co najmniej 3 metrów (patrząc w<br>linii prostej).";"Kleryk"
"4";"OSŁONA PRZED ŚMIERCIĄ";" Odpychanie, 4. krąg";" 1 akcja";" Dotyk";" W, S";" 8 godzin";" Zapewniasz dotkniętej istocie częściową ochronę przed śmiercią.<br><br>Za pierwszym razem, gdy w efekcie otrzymanych obrażeń PW celu miałyby spaść do 0, zamiast tego spadają do 1, a zaklęcie się kończy.<br><br>Gdy w trakcie działania czaru, chroniona istota jest celem efektu, który zabiłby ją natychmiast bez zadawania obrażeń, to ten efekt nie działa na nią, a zaklęcie się kończy.";"Kleryk"
"4";"STRAŻNIK WIARY";" Przywoływanie, 4. krąg";" 1 akcja";" 9 metrów";" W";" 8 godzin";" W wybranym wolnym miejscu, które widzisz w zasięgu, pojawia się Duży widmowy strażnik, unoszący się w powietrzu przez czas trwania czaru i zajmujący to miejsce. Jego postać jest niewyraźna, poza błyszczącym mieczem i tarczą noszącą symbol tego bóstwa.<br><br>Każda wroga istota, która znajdzie się w obrębie 3 metrów od strażnika po raz pierwszy w swojej turze, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 20 obrażeń od światłości. Udany rzut zmniejsza obrażenia o połowę.<br><br>Strażnik znika po zadaniu łącznie 60 punktów obrażeń.";"Kleryk"
"4";"SWOBODA RUCHU";" Odpychanie, 4. krąg";" 1 akcja";" Dotyk";" W, S, M (rzemień zawiązany wokół ramienia lub podobnej kończyny)";" 1 godzina";" Dotykasz przychylnej ci istoty. Przez czas trwania czaru na jej poruszanie się nie wpływa trudny teren, a zaklęcia i magiczne efekty nie mogą zredukować jej szybkości ani spowodować paraliżu lub unieruchomienia. <br><br>Istota będąca pod wpływem tego zaklęcia, może również zużyć 1.5 metra szybkości, aby automatycznie oswobodzić się z niemagicznych więzów, takich jak kajdany albo bycie pochwyconą.<br><br>Ponadto przebywanie pod wodą nie powoduje u niej kar do ruchu i ataków";"Kleryk"
"4";"WIESZCZENIE";" Wieszczenie, 4. krąg (rytuał)";" 1 akcja";" Na siebie";" W, S, M (kadzidło i zgodna z twoją religią ofiara o wartości co najmniej 25 sz, zużywana przez zaklęcie)";" Natychmiastowy";" Dzięki swojej magi ii złożonej ofierze, wchodzisz w kontakt z bóstwem lub jego sługami. Zadajesz pojedyncze pytanie dotyczące konkretnego celu, wydarzenia lub działania mającego nastąpić w ciągu 7 dni. MP udziela zgodnej z prawdą odpowiedzi, która może być krótkim zdaniem,<br>zagadkowym wierszem lub zesłanym znakiem.<br><br>Zaklęcie nie uwzględnia żadnych potencjalnych okoliczności mogących zmienić wynik wieszczenia, takich jak zrzucenie dodatkowych czarów czy utrata lub zyskanie towarzysza.<br><br>Kiedy rzucasz to zaklęcie dwa lub więcej razy przed ukończeniem najbliższego długiego odpoczynku, każde kolejne rzucenie niesie ze sobą kumulatywne 25% ryzyka, że wieszczenie zaowocuje przypadkową wróżbą. MP sprawdza to w tajemnicy.";"Kleryk"
"4";"WYPĘDZENIE";" Odpychanie, 4. krąg";" 1 akcja";" 18 metrów";" W, S, M (przedmiot obrzydliwy dla celu czaru)";" Koncentracja, do 1 minuty";" Podejmujesz próbę odesłania istoty, którą widzisz w zasięgu czaru, do innej sfery egzystencji. Musi ona wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia, zostaje wygnana. Jeżeli pochodzi ze sfery egzystencji, w której aktualnie przebywasz, to znika i pojawia się obezwładniona w neutralnej demisferze. Pozostaje tam do zakończenia czaru,<br>po czym powraca w miejsce, z którego zniknęła (lub w najbliższe wolne).<br><br>Natomiast jeżeli stworzenie pochodzi z innej sfery egzystencji niż ta, w której rzucasz czar, to zostaje wypędzone i z cichym trzaskiem powraca do swojej rodzimej sfery. Jeżeli zaklęcie skończy się przed upływem 1 minuty, odesłany cel pojawia się z powrotem w miejscu, z którego go wygnałeś, lub w najbliższym wolnym. W przeciwnym przypadku nie wraca. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 5. kręgu, za każdy krąg powyżej 4. możesz objąć czarem dodatkową istotę.";"Kleryk"
"5";"GEAS";" Uroki, 5. krąg";" 1 minuta";" 18 metrów";" W";" 30 dni";" Nakładasz magiczny nakaz na stworzenie. Nakaz ten może dotyczyć wykonanie czegoś albo powstrzymanie się przed wykonaniem czegoś. Jeśli cel zaklęcia cię rozumie, wykonuje rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje zauroczony na czas trwania zaklęcia. Otrzymuje 5k10 obrażeń psychicznych za każdym razem, kiedy działa w<br>sposób przeciwny do twojego polecenia, ale nie częściej niż raz dziennie. Istota, która nie rozumie twojego nakazu, nie zostaje nim objęta.<br><br>Możesz wydać dowolny nakaz z wyjątkiem działań, które prowadziłyby do śmierci zauroczonej istoty. Sformułowanie samobójczego nakazu, kończy działanie czaru. Możesz odwołać ten czar w ramach swojej akcji. Można go rozproszyć również zaklęciem: zdjęcie klątwy, większe przywrócenie lub życzenie.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę 7. lub 8. kręgu, wydłużasz czas trwania do 1 roku. Przy wykorzystaniu komórki 9. kręgu, zaklęcie trwa póki nie zostanie zakończone jednym z wyżej wymienionych czarów.";"Kleryk"
"5";"KONSEKRACJA";" Wywoływanie, 5. krąg";" 24 godziny";" Dotyk";" W, S, M (zioła,olejki i kadzidła o wartości co najmniej 1000sz, zużywane przez zaklęcie)";"Do rozproszenia";" Napełniasz obszar o promieniu do 18m świętą (lub nieświętą) mocą. Nie może pokrywać się z obszarem już konsekrowanym. Konsekrowany obszar podlega zasadom. 1.Nie mogą do niego wejść czarty, fey, niebianie, nieumarli i żywiołaki. Nie mogą oni też zauroczyć, przerazić lub opętać istot znajdujących się w jego obrębie. Istota przez nich zauroczona, przerażona lub opętana przestała taka być po wejściu w konsekrowany obszar. Możesz wyłączyć spod działania tego czaru wybrane typy wymienionych stworzeń. 2.Możesz nałożyć dodatkowy efekt na ten obszar (str. 226).";"Kleryk"
"5";"KONTAKT Z BÓSTWEM";" Wieszczenie, 5. krąg (rytuał)";" 1 minuta";" Na siebie";" W, S, M (kadzidło i fiolka święconej lub przeklętej wody)";" 1 minuta";" Zwracasz się do swego bóstwa lub patrona i zadajesz maksymalnie trzy pytania, na które można odpowiedzieć twierdząco 1ub przecząco. Musisz zdążyć je zadać w czasie trwania czaru. Na każde otrzymasz prawdziwą odpowiedź. <br><br>Boskie byty nie zawsze są wszechwiedzące. Jeśli twoje pytanie wykracza poza wiedzę bóstwa, możesz otrzymać odpowiedź ,,niejasne. Gdyby odpowiedź jednym słowem mogła być myląca lub sprzeczna z interesami bóstwa, MP może zamiast tego odpowiedzieć krótkim zdaniem. <br><br>Jeżeli przed zakończeniem długiego odpoczynku rzucisz to zaklęcie więcej niż raz, za każdym kolejnym razem istnieje kumulatywne 25% ryzyka, że nie otrzymasz odpowiedzi. MP wykonuje ten rzut w tajemnicy.";"Kleryk"
"5";"LEGENDARNA WIEDZA";" Wieszczenie, 5. krąg";" 10 minut";" Na siebie";" W, S, M (kadzidło o wartości co najmniej 250sz, zużywane przez zaklęcie, oraz cztery skrawki kości słoniowej, każdy o wartości co najmniej 50 sz)";" Natychmiastowy";" Nazywasz lub opisujesz istotę, miejsce lub obiekt. Dzięki temu czarowi do twojej głowy napływa krótkie podsumowanie najistotniejszych przekazów na ich temat. Wiedza ta może bazować na krążących obecnie opowieściach, zapomnianych historiach, a nawet sekretach, które nigdy nie były szeroko znane. Jeżeli określona przez ciebie rzecz nie ma legendarnego znaczenia, to nie zdobywasz żadnych informacji. Im więcej już wiesz o celu zaklęcia, tym<br> dokładniejsze i konkretniejsze są uzyskiwane informacje...<br><br>Podręcznik gracza str.232<br>";"Kleryk"
"5";"MASOWE LECZENIE RAN";" Wywoływanie, 5. krąg";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Wskazujesz punkt w zasięgu czaru, z którego rozchodzi się fala uzdrawiającej energii. Wybierz do 6 istot znajdujących się w sferze o promieniu 9m ze środkiem we wskazanym miejscu. Każda z nich odzyskuje punkty wytrzymałości w liczbie 3k8 + twój modyfikator z cechy bazowej. Zaklęcie nie działa na konstrukty i nieumarłych. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 6. kręgu, za każdy krąg powyżej 5., przywracasz dodatkowo 1k8PW.";"Kleryk"
"5";"PLAGA OWADÓW";" Przywoływanie, 5. krąg";" 1 akcja";" 90 metrów";" W, S, M (kilka kryształków cukru, ziaren zboża,trochę tłuszczu)";" Koncentracja, do 10 minut";" Chmara wygłodniałej szarańczy kotłuje się, wypełniając sferę o promieniu 6m, z punktem wyjścia wskazanym przez ciebie w zasięgu czaru. Sfera rozprzestrzenia się za rogi i załomy. Szarańcza pozostaje w niej przez czas działania czaru, tworząc trudny teren o ograniczonej widoczności.<br><br>W momencie pojawiania się chmary szarańczy, każda znajdująca się w jej obrębie istota, musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia, otrzymuje 4k10 obrażeń kłutych. Udany rzut obronny zmniejsza obrażenia o połowę. Rzut obronny musi także wykonać każde stworzenie wchodzące w obszar czaru po raz pierwszy w swojej turze lub kończące w nim swoją turę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 6. kręgu, za każdy krąg<br>powyżej 5. zwiększasz zadawane obrażenia o 1k10.";"Kleryk"
"5";"ROZPROSZENIE DOBRA I ZLA";" Odpychanie, 5. krąg";" 1 akcja";" Na siebie";" W, S, M (woda święcona albo sproszkowane srebro i żelazo)";" Koncentracja, do 1 minuty";" Otaczasz się migoczącą energią, która chroni cię przed fey, nieumarłymi oraz istotami pochodzącymi spoza Sfery Materialnej. Przez czas trwania czaru czarty, fey, niebianie, nieumarli i żywiołaki mają utrudnienie w testach ataku przeciw tobie. Możesz zakończyć czar wcześniej, wykorzystując jeden z poniższych efektów:<br>Przełamanie uroku. W ramach swojej akcji dotykasz istoty, która jest zauroczona, przerażona lub opętana przez czarta, fey, niebianina, nieumarłego lub żywiołaka, i uwalniasz ją z tego stanu. Odesłanie. W ramach swojej akcji wykonaj magiczny atak wręcz przeciwko czartowi, fey, niebianinowi, nieumarłemu lub żywiołakowi, którego możesz dosięgnąć. Jeśli trafisz, podejmujesz próbę wygnania go z powrotem do jego sfery macierzystej. Stworzenie musi wykonać rzut obronny na Charyzmę, a w przypadku niepowodzenia zostanie odesłane do swojej sfery (chyba, że już tam jest(. Przebywający w obcej sferze nieumarli są odsyłani do Shadowfell, a fey do Feywild.";"Kleryk"
"5";"SFERALNE WIĄZANIE";" Odpychanie, 5. krąg";" 1 godzina";" 18 metrów";" W, S, M (klejnot o wartości co najmniej 1000 sz, zużywany przez zaklęcie)";" 24 godziny";" Zmuszasz czarta, fey, niebianina lub żywiołaka, by ci służył. Musi przebywać w zasięgu czaru. Pod koniec rzucania, cel wykonuje rzut obronny na Charyzmę. W przypadku niepowodzenia,zostaje zmuszony,by ci służyć. Jeżeli jest istotą przywołaną lub stworzoną za pomocą innego zaklęcia, to jego działanie zostaje wydłużone o czas sferalnego wiązania. Możesz rozkazać jej towarzyszyć ci, strzec jakiegoś miejsca albo dostarczyć wiadomość. Jest posłuszna twoim rozkazom, ale jeśli jest ci wroga, to będzie próbowała interpretować twoje wytyczne na swoją korzyść. Jeżeli istota ukończy wypełnianie twoich rozkazów przed końcem czaru, to wraca do ciebie powiadomić cię o tym, o ile znajduje się w tej samej sferze egzystencji. Jeżeli znajdujesz się w innej sferze, to istota powraca w miejsce swego magicznego związania i pozostaje tam do zakończenia czaru...<br><br>Podręcznik gracza str.262";"Kleryk"
