"1";"ALARM";"Odpychanie, 1. krąg (rytuał) ";"1 minuta ";" 9 metrów";" W,S,M (mały dzwoneczek i kawałek cienkiego, srebrnego drutu)";" 8 godzin";" Nastawiasz alarm przeciw intruzom. Wybierz znajdujące się w zasięgu drzwi, okno lub obszar nie większy niż 6-metrowy sześcian. Przez cały czas trwania, czar będzie cię ostrzegać, kiedy Mała lub większa istota dotknie strzeżonego obszaru, lub do niego wejdzie. Rzucając czar, możesz określić istoty, które nie są intruzami. Wtedy decydujesz również, czy alarm jest dźwiękowy, czy ostrzega cię tylko mentalnie.<br><br>Alarm mentalny wywoła wrażenie dźwięku w twojej głowie, o ile pozostaniesz w obrębie 1,5 km od strzeżonego obszaru. Obudzi cię, jeśli będziesz spać.<br><br>Alarm dźwiękowy, przez 10s wytwarza dźwięk dzwonka rozchodzący się na odległość 18m.";"Łowca"
"4";"ODNALEZIENIE ISTOTY";" Wieszczenie, 4. krąg";" 1 akcja";" Na siebie";" W, S, M (odrobina sierści psa gończego)";" Koncentracja, do 1 godziny";" Podajesz opis lub nazwę znanej ci istoty. <br> Wyczuwasz, w jakim kierunku się znajduje, o ile nie jest oddalona od ciebie o więcej niż 300 metrów. Jeśli się porusza, dowiadujesz się, w<br>jakim kierunku. <br><br>Przy pomocy tego czaru, możesz odnaleźć konkretną znaną istotę albo najbliższe stworzenie określonego rodzaju (na przykład człowieka albo jednorożca), o ile widziałeś takie przynajmniej raz z odległości do 9 metrów. Jeśli forma poszukiwanej istoty została zmieniona, na przykład zaklęciem polimorfia, to ten czar jej nie odnajdzie. Czar nie zadziała także, jeśli od poszukiwanej istoty dzieli cię płynąca woda o szerokości co najmniej 3 metrów (patrząc w<br>linii prostej).";"Łowca"
"4";"PRZYWOŁANIE LEŚNYCH ISTOT";" Przywoływanie, 4. krąg";" 1 akcja";" 18 metrów";" W,S,M (po jednej jagodzie ostrokrzewu na każdą przywoływaną istotę)";" Koncentracja, do 1 godziny";" Przywołujesz fey, by pojawiły się w wolnej przestrzeni, którą widzisz w zasięgu czaru. Wybierz jedną z możliwości:<br>*1 fey o stopniu wyzwania nie większym niż 2,<br>*2 fey o stopniu wyzwania nie większym niż 1,<br>*4 fey o stopniu wyzwania nie większym niż ½,<br>*8 fey o stopniu wyzwania nie większym niż ¼<br>Przywołana istota znika, kiedy jej punkty wytrzymałości spadają do 0, lub gdy czar dobiega końca. Istoty są przyjazne tobie i twoim sprzymierzeńcom. Wykonujesz za nie (grupowo) rzut na inicjatywę, gdyż będą działać w swojej turze. Są posłuszne twoim słownym poleceniom (nie wymagają one twojej akcji). Jeśli nie wydasz polecenia, przywołane istoty ograniczą się do obrony przed wrogami, ale nie będą wykonywać innych akcji. MP dysponuje statystykami przyzwanych istot. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę wyższego kręgu, przywołujesz więcej istot z wybranego wariantu: dwa razy więcej na 6. kręgu i trzy razy więcej na 8. kręgu.";"Łowca"
"4";"SWOBODA RUCHU";" Odpychanie, 4. krąg";" 1 akcja";" Dotyk";" W, S, M (rzemień zawiązany wokół ramienia lub podobnej kończyny)";" 1 godzina";" Dotykasz przychylnej ci istoty. Przez czas trwania czaru na jej poruszanie się nie wpływa trudny teren, a zaklęcia i magiczne efekty nie mogą zredukować jej szybkości ani spowodować paraliżu lub unieruchomienia. <br><br>Istota będąca pod wpływem tego zaklęcia, może również zużyć 1.5 metra szybkości, aby automatycznie oswobodzić się z niemagicznych więzów, takich jak kajdany albo bycie pochwyconą.<br><br>Ponadto przebywanie pod wodą nie powoduje u niej kar do ruchu i ataków";"Łowca"
"5";"AUTOMATYCZNY KOŁCZAN";" Przemiany, 5. krąg";" 1 akcja dodatkowa";" Dotyk";" W,S,M (kołczan z co najmniej jedną sztuką amunicji)";" Koncentracja, do 1 minuty";" Zmieniasz swój kołczan w niewyczerpane źródło niemagicznych pocisków, zdających się wyskakiwać z niego wprost do twojej dłoni.<br><br>Póki czar trwa, w swoich turach możesz w ramach akcji dodatkowej wykonywać dwa dodatkowe ataki bronią strzelającą pociskami z tego kołczanu. Po każdym strzale kołczan uzupełnia zużyty pocisk jego niemagicznym odpowiednikiem. Amunicja stworzona w ten sposób znika po wygaśnięciu zaklęcia. Czar kończy się także wtedy, gdy przestajesz mieć przy sobie zaczarowany kołczan.";"Łowca"
"5";"KONTAKT Z NATURĄ";" Wieszczenie, 5. krąg (rytuał)";" 1 minuta";" Na siebie";" W, S";" Natychmiastowy";" Osiągasz chwilowy stan jedności z naturą i zyskujesz dzięki niej wiedzę o okolicy. Pod otwartym niebem, czar zapewnia ci wiedzę o terenie w promieniu 4.5 kilometra. W jaskiniach i innych naturalnych formacjach podziemnych promień ograniczony jest do 90 metrów. Zaklęcie nie działa w miejscach, w których naturalne formacje zastąpiono wytworzonymi konstrukcjami, na przykład w lochach i miastach.<br>Natychmiast poznajesz do trzech związanych z okolicą faktów, które dotyczą wybranych tematów spośród następujących:<br>*Teren i zbiorniki wodne,<br>*Dominujące minerały, zwierzęta, roślinność lub ludność,<br>*Potężni niebianie, fey, czarty, żywiołaki lub nieumarli,<br>*Wpływy innych sfer egzystencji,<br>*Budowle.<br>Przykładowo, możesz określić na danym obszarze miejsce przebywania potężnego nieumarłego, lokalizację większych źródeł wody pitnej oraz położenie pobliskich miast.";"Łowca"
"5";"PRZYWOŁANIE OSTRZAŁU";" Przywoływanie, 5. krąg";" 1 akcja";" 45 metrów";" W,S,M (sztuka amunicji lub broni rzucanej)";" Natychmiastowy";" Strzelasz niemagicznym pociskiem lub rzucasz niemagiczną bronią miotaną w powietrze, a następnie wybierasz punkt w zasięgu czaru. Z nieba spadają setki kopii użytej amunicji lub broni, po czym znikają. Każda istota na obszarze walca o promieniu 12 metrów i wysokości 6 metrów z punktem wyjścia w wybranym miejscu, musi wykonać rzut obronny na Zręczność. W przypadku niepowodzenia, otrzymuje 8k8 obrażeń. Udany rzut zmniejsza obrażenia o połowę. Obrażenia są tego samego typu, co broni lub amunicji będącej komponentem czaru";"Łowca"
"5";"SPACER MIĘDZY DRZEWAMI";" Przywoływanie, 5. krąg";" 1 akcja";" Na siebie";" W, S";" Koncentracja, do 1 minuty";" Zyskujesz możliwość wejścia w drzewo i przemieszczenia z niego do wnętrza innego drzewa tego samego gatunku, rosnącego nie dalej niż 150 metrów. Oba drzewa muszą być żywe i co najmniej twojego rozmiaru.<br><br>Aby wejść do drzewa, musisz wykorzystać 1,5 metra ruchu. Automatycznie poznajesz umiejscowienie wszystkich innych drzew tego samego gatunku w obrębie 150 metrów, a w ramach ruchu związanego z wejściem do drzewa możesz przejść do jednego z nich albo wyjść z tego, w którym przebywasz. Pojawiasz się w wybranym miejscu 1,5 metra od docelowego drzewa, co również kosztuje cię 1,5 metra ruchu.<br>Jeśli nie masz już możliwości ruchu, pojawiasz się 1,5 metra od drzewa, do którego wszedłeś.<br><br>Podczas działania czaru, możesz przemieścić się w ten sposób raz na rundę. Każdą turę musisz zakończyć poza drzewem.";"Łowca"
"1";"POCHŁONIĘCIE ŻYWIOŁÓW";" Odpychanie, 1. krąg";" 1 reakcja podejmowana w odpowiedzi na otrzymanie obrażeń od dźwięku, elektryczności, kwasu, ognia albo zimna";" Na siebie";" S";" 1 runda";" Czar przejmuje część oddziałującej na ciebie energii,<br>zmniejsza jej wpływ i przygotowuje ją do wykorzystania w twoim następnym ataku wręcz. Do początku swojej następnej tury zyskujesz odporność na obrażenia takiego typu, jak te wywołujące twoją reakcję. Co więcej, kiedy po raz pierwszy trafisz atakiem wręcz w swojej następnej turze, cel otrzymuje dodatkowo 1k6 obrażeń tego typu, a czar dobiega końca.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 2. kręgu, za każdy krąg powyżej 1. zwiększasz zadawane obrażenia dodatkowe o 1k6.";"Łowca (XGE)"
"1";"SIDŁA";" Odpychanie, 1. krąg";" 1 minuta";" Dotyk";" S, M (7,5 metra liny, zużywane przez zaklęcie)";" 8 godzin";" Podczas rzucania tego czaru układasz z liny okrąg O promieniu 1,5 metra na ziemi lub innym podłożu. Po zakończeniu rzucania lina znika, a okrąg staje się magiczną pułapką.<br><br>Jest ona niemal niewidzialna, a odróżnienie jej Od podłoża wymaga udanego testu Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. <br><br>Pułapka uruchamia się, gdy Małe, Średnie lub Duże stworzenie staje na podłożu w obszarze działania czaru. Musi ono wykonać rzut obronny na Zręczność. W przypadku niepowodzenia zostaje magicznie wyrzucone w powietrze i zawisa głową w dół 90 centymetrów nad miejscem rzucenia czaru. Stworzenie jest tam unieruchomione przez czas trwania czaru...<br><br>Przewodnik Xanathara po wszystkim str.164";"Łowca (XGE)"
"1";"UDERZENIE ZEFIRU";" Przemiany, 1. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Koncentracja, do 1 minuty";" Poruszasz się jak wiatr. Podczas trwania czaru twój ruch nie prowokuje ataków okazyjnych.<br><br>Raz podczas trwania czaru możesz zapewnić sobie ułatwienie w jednym teście ataku bronią w swojej turze. Ten atak przy trafieniu zadaje dodatkowo 1k8 obrażeń od mocy. Niezależnie od tego, czy udało ci się trafić, twoja szybkość chodzenia zwiększa się o 9 metrów do końca tej tury.";"Łowca (XGE)"
"1";"WIĘŹ Z BESTIĄ";" Wieszczenie, 1. krąg";" 1 akcja";" Dotyk";" W, S, M (odrobina futra zawinięta w materiał)";" Koncentracja, do 10 minut";" Dotykasz jednej przyjaznej lub zauroczonej przez ciebie bestii i tworzysz z nią telepatyczną więź. Czar nie działa na bestie o Inteligencji 4 lub większej. Podczas trwania zaklęcia połączenie pozostaje aktywne, dopóki macie siebie nawzajem w zasięgu wzroku. Dzięki połączeniu bestia rozumie twoje telepatyczne wiadomości i może przekazywać ci proste emocje i pojęcia.W czasie trwania połączenia bestia ma ułatwienie w testach ataku przeciw stworzeniom, które widzisz w obrębie 1,5 metra od siebie.";"Łowca (XGE)"
"2";"UZDRAWIAJĄCY DUCH";" Przywoływanie, 2. krąg";" 1 akcja dodatkowa";" 18 metrów";" W, S";" Koncentracja, do 1 minuty";" Wzywasz ducha natury, by ulżyć rannym w cierpieniu. Niematerialny duch pojawia się w przestrzeni będącej sześcianem o boku 1,5 metra, którą widzisz w zasięgu czaru. Duch wygląda jak przezroczysta bestia lub istota fey (wedle twojego wyboru).<br><br>Podczas trwania czaru, kiedy ty albo stworzenie, które widzisz, wchodzi w przestrzeń zajmowaną„przez ducha po raz pierwszy w swojej turze albo rozpoczyna tam swoją turę, możesz sprawić, aby duch przywrócił mu 1k6 punktów wytrzymałości (bez konieczności użycia akcji). Duch nie może uleczyć konstruktów i nieumarłych. Duch może leczyć liczbę razy równą 1+ twój modyfikator z cechy bazowej (minimum dwa), a po jej wykorzystaniu znika.<br><br>W ramach akcji dodatkowej w swojej turze możesz przemieścić ducha na odległość do 9 metrów w miejsce które widzisz.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 3. kręgu, za każdy krąg powyżej 2. leczenie przywraca dodatkowe 1k6 punktów wytrzymałości.";"Łowca (XGE)"
"3";"PŁOMIENNE STRZAŁY";" Przemiany, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 godziny";" Dotykasz kołczanu ze strzałami lub bełtami. Przy trafieniu atakiem dystansowym bronią z użyciem amunicji wyciągniętej z kołczanu cel otrzymuje 1k6 dodatkowych obrażeń od ognia. Działanie czaru na pocisk kończy się niezależnie od tego, czy udało ci się trafić, a samo zaklęcie kończy się po wyciągnięciu z kołczanu 12 sztuk amunicji. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3. możesz zwiększyć liczbę sztuk amunicji objętych tym czarem o 2.";"Łowca (XGE)"
"4";"STRAŻNIK NATURY";" Przemiany, 4. krąg";" 1 akcja dodatkowa";" Na siebie";" W";" Koncentracja, do 1 minuty";" Duch natury odpowiada na twoje wezwanie i przekształca cię w potężnego strażnika. Przemiana trwa do zakończenia czaru. Wybierasz jedną z form: pierwotną bestię lub olbrzymie drzewo. <br><br>Pierwotna bestia. Twoje ciało porasta zwierzęce futro,  rysy twarzy dziczeją. Zyskujesz następujące korzyści: - Twoja szybkość chodzenia zwiększa się o 3 metry.  - Zyskujesz zdolność widzenia w ciemności na odległość 36 metrów. - Masz ułatwienie w testach ataku opartych na Sile.  -Twoje ataki wręcz bronią przy trafieniu zadają 1k6 dodatkowych obrażeń od mocy.  Olbrzymie drzewo. Twoja skóra zaczyna przypominać korę, a z włosów wyrastają liście. Zyskujesz następujące korzyści:<br>- Zyskujesz 10 tymczasowych PW. -Masz ułatwienie w rzutach obronnych na Kondycję. -Masz ułatwienie w testach ataku opartych na Zręczności i Mądrości. . Gdy stoisz na ziemi, obszar W obrębie 4,5 metra od ciebie stanowi trudny teren dla twoich wrogów.";"Łowca (XGE)"
"5";"UDERZENIE STALOWEGO WICHRU";" Przywoływanie, 5. krąg";" 1 akcja";" 9 metrów";" S, M (broń biała o wartości co najmniej 1 ss)";" Natychmiastowy";" Bierzesz zamach bronią będącą komponentem tego czaru, po czym znikasz, by uderzyć z prędkością wiatru. Wybierz maksymalnie pięć istot, które widzisz w zasięgu czaru. Wykonujesz atak wręcz czarem przeciw każdemu celowi. Przy trafieniu cel otrzymuje 6k10 obrażeń od mocy.<br><br>Następnie możesz teleportować się na wolne miejsce, które widzisz w obrębie 1,5 metra od jednego z celów, niezależnie od tego, czy udało ci się go trafić.";"Łowca (XGE)"
"5";"WŚCIEKŁOŚĆ NATURY";" Wywoływanie, 5. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 minuty";" Wzywasz duchy natury, by ruszyły na twoich wrogów. Wybierasz punkt, który widzisz w zasięgu czaru. Duchy sprawiają, że w obszarze sześcianu o boku 18 metrów i środku w wybranym punkcie drzewa, kamienie 1 trawy ożywają na czas trwania czaru.<br><br>Drzewa...<br><br>Kamienie... <br><br>Korzenie i pnącza...  <br><br>Trawy i zarośla... <br><br>Przewodnik Xanathara po Wszystkim str.169";"Łowca (XGE)"
