"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Czarownik"
"3";"KRĄG MAGII";" Odpychanie, 3. krąg";" 1 minuta";" 3 metry";" W, S, M (woda święcona, albo sproszkowane srebro i żelazo o wartości co najmniej 100 sz)";" 1 godzina";" Tworzysz walec magicznej energii o średnicy 3m i wysokości 6m, umiejscowiony na ziemi w punkcie, który widzisz w zasięgu czaru.<br>Wybierz jeden lub więcej typów istot, spośród następujących: czarty, fey, niebianie, nieumarli lub żywiołaki. Krąg będzie na nie wpływał w następujący sposób:<br>*Istota nie może dobrowolnie wejść w obszar walca niemagicznymi sposobami. Jeśli próbuje użyć w tym celu teleportacji lub podróży między astralnej, musi najpierw wykonać udany rzut obronny na Charyzmę.<br>*Istota ma utrudnienie w testach ataku przeciw celom przebywającym wewnątrz walca...<br><br>Podręcznik gracza str.229<br>";"Czarownik"
"3";"LOT";" Przemiany, 3. krąg";" 1 akcja";" Dotyk";" W, S, M (pióro ze skrzydła dowolnego ptaka)";" Koncentracja, do 1 minuty";" Dotykasz przychylnej istoty. Na czas trwania czaru, zyskuje ona szybkość lotu 18 metrów. Jeśli będzie w powietrzu, gdy czar dobiegnie końca, to spadnie, chyba, że będzie potrafiła temu zapobiec.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., możesz objąć czarem jedną dodatkową istotę.";"Czarownik"
"3";"PRZECIWZAKLĘCIE";" Odpychanie, 3. krąg";" 1 reakcja podejmowana, gdy widzisz istotę rzucającą czar w obrębie 18 metrów";" 18 metrów";" S";" Natychmiastowy";" Próbujesz przerwać proces rzucania czaru przez inną istotę. Jeśli rzuca ona czar z kręgu 3. lub niższego, to jej zaklęcie kończy się fiaskiem i nie przynosi żadnych efektów. Jeśli jednak rzuca czar co najmniej 4. kręgu, wykonaj test swojej cechy bazowej. ST wynosi 10 + krąg czaru. Przy udanym teście, rozpraszasz rzucanie zaklęcia i nie przynosi ono żadnych efektów.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, przerwane zaklęcie nie przynosi efektów, jeśli jego krąg nie przewyższa tego, z którego rzucasz przeciwzaklęcie.";"Czarownik"
"3";"ROZPROSZENIE MAGII";" Odpychanie, 3. krąg";" 1 akcja";" 36 metrów";" W, S";" Natychmiastowy";" Wybierz jedną istotę, obiekt lub magiczny efekt w zasięgu czaru. Każde zaklęcie 3. lub niższego kręgu wpływające na nie, dobiega końca. Dla każdego zaklęcia z kręgu 4. lub wyższego, działającego na wybrany cel, wykonaj test swojej cechy bazowej o ST w wysokości 10 + krąg czaru. Po udanym rzucie, to zaklęcie zostaje rozproszone.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, automatycznie rozpraszasz działające na wybrany cel zaklęcia z kręgu równego, lub mniejszego niż ten, z którego rzucasz<br>rozproszenie magii.";"Czarownik"
"3";"STRACH";" Iluzje, 3. krąg";" 1 akcja";" Na siebie (stożek o długości 8 metrów)";" W, S, M (białe piórko lub kurze serce)";" Koncentracja, do 1 minuty";" Tworzysz koszmarną projekcję najgorszych lęków innego stworzenia. Każda istota na obszarze stożka o długości 9m, musi wykonać rzut obronny na mądrość. W przypadku niepowodzenia, upuszcza trzymane rzeczy i staje się przerażona na czas działania czaru. <br>Przerażone stworzenie wykonuje z utrudnieniem wszystkie testy cech i testy ataku, jeśli źródło jej strachu znajduje się w zasięgu wzroku. Przerażone stworzenie nie może z własnej woli zbliżyć się do źródła swego strachu.<br><br>Istota przerażona tym czarem, musi w każdej swojej turze wykonać akcję Sprintu, by jak najbardziej oddalać się od ciebie najbezpieczniejszą możliwą drogą, chyba że nie ma dokąd uciec. Jeśli zakończysz swoją turę w miejscu, w którym nie ma cię już w zasięgu wzroku, może wykonać rzut obronny na Mądrość. Jeśli jej się powiedzie, wyzwala się spod efektu przerażenia.";"Czarownik"
"3";"WAMPIRYCZNY DOTYK";" Nekromancja, 3. krąg";" 1 akcja";" Na siebie";" W, S";" Koncentracja, do 1 minuty";" Dotyk twojej spowitej cieniem dłoni potrafi wyssać siły życiowe z innych, by cię uleczyć. Wykonaj atak wręcz czarem przeciw istocie w sferze ataku. Przy trafieniu zadajesz 3k6 obrażeń nekrotycznych i odzyskujesz punkty wytrzymałości w liczbie połowy zadanych obrażeń. W czasie działania czaru, możesz wykorzystywać akcje w swoich turach, by ponawiać ten atak.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 4. kręgu, za każdy krąg powyżej 3., zwiększasz zadawane obrażenia o 1k6.";"Czarownik"
"3";"WIĘKSZY OBRAZ";" Iluzje, 3. krąg";" 1 akcja";" 36 metrów";" W, S, M (odrobina runa)";" Koncentracja, do 10 minut";" Tworzysz iluzoryczny obraz obiektu, istoty, itp., mieszczący się w sześcianie o boku 6m.Obraz pojawia się w miejscu, które widzisz w zasięgu, i istnieje przez cały czas trwania czaru. Iluzja zawiera dźwięki, zapachy i odczucia temperatury odpowiednie dla kopiowanej rzeczy. Nie możesz w ten sposób stworzyć wystarczającej ilości ciepła zimna, dźwięku, zapachu by spowodować obrażenia. Możesz w ramach swojej akcji przenieść obraz w inne miejsce. Gdy zmienia on swoje położenie, możesz wpłynąć na jego wygląd tak, by oddawał naturalny ruch imitowanej rzeczy. Możesz też sprawić, by iluzji towarzyszyły dźwięki, pojawiające się w różnych momentach, a nawet sprawiające wrażenie rozmowy. Fizyczny kontakt z obrazem zdemaskuje iluzję. Stworzenie może w ramach swojej akcji zbadać obraz i rozpoznać w nim iluzję, dzięki udanemu testowi Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Istota, która poznała się na iluzji, może widzieć przez jej obraz, a pozostałe składowe sensoryczne stają się dla niej słabe i niewyraźne. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 6. kręgu, będzie on trwał do rozproszenia, bez potrzeby twojej koncentracji.";"Czarownik"
"3";"ZDJĘCIE KLĄTWY";" Odpychanie, 3. krąg";" 1 akcja";" Dotyk";" W, S";" Natychmiastowy";" Pod twoim dotknięciem, kończą się wszelkie klątwy nałożonej na istotę lub obiekt.<br><br>Jeżeli tym obiektem jest przeklęty, magiczny przedmiot, to jego klątwa trwa, ale rzucone zaklęcie zrywa jego powiązanie z ofiarą, tak że może go ona zdjąć lub wyrzucić.";"Czarownik"
"4";"DRZWI PRZEZ WYMIARY";" Przywoływanie, 4. krąg";" 1 akcja";" 150 metrów";" W";" Natychmiastowy";" Teleportujesz się do innego miejsca znajdującego się w zasięgu czaru. Pojawiasz się dokładnie w wybranym punkcie. Może to być miejsce, które widzisz albo które potrafisz sobie wyobrazić lub opisać, określając kierunek i odległość, na przykład: ,,60 metrów prosto w dól albo ,,w górę na północny zachód pod kątem 45 stopni, 90 metrów. <br><br>Możesz przemieścić się razem z przedmiotami, których łączny ciężar nie przekracza twojego udźwigu, a także zabrać ze sobą jedną przychylną istotę w rozmiarze nieprzekraczającym twojego, której wyposażenie nie przekracza jej udźwigu. W momencie rzucania czaru musi znajdować się ona nie dalej niż 1,5 metra od ciebie. Jeśli mielibyście pojawić się w miejscu zajętym przez jakiś obiekt albo stworzenie, ty i towarzysząca ci istota otrzymujecie po<br>4k6 obrażeń od mocy, a czar się nie udaje.";"Czarownik"
"4";"ILUZORYCZNY TEREN";" Iluzje, 4. krąg";" 10 minut";" 90 metrów";" W, S, M (kamień, gałązka i fragment rośliny zielonej)";" 24 godziny";" Sprawiasz, że naturalny teren w obrębie sześcianu o boku 45 metrów zaczyna wyglądać, pachnieć i brzmieć, jakby był naturalnym terenem innego typu. Pole albo droga mogą wydać się bagniskiem, wzgórzem, rozpadliną lub innym trudnym albo wręcz nieprzebytym terenem. Staw możesz skryć pod iluzją wonnej łąki, przepaść pokazać jako łagodny stok, skalisty wąwóz może zostać szeroką i równą drogą. Nie wpływasz na wygląd wytworzonych obiektów znajdujących się na tym obszarze, takich jak budowle czy wyposażenie, ani przebywających tam stworzeń.<br><br>Namacalnie teren nie ulega jednak zmianie, więc stworzenia wchodzące na jego obszar łatwo przejrzą iluzję. Jeśli różnica w dotyku nie jest oczywista, istota badająca uważnie iluzję może wykonać test Inteligencji (Śledztwo) o ST rzutu<br>obronnego przeciw twoim czarom, by przestać w nią wierzyć. Istota, która przejrzała iluzję, widzi jej nikły obraz nałożony na prawdziwy teren.";"Czarownik"
"4";"PLAGA";" Nekromancja, 4. krąg";" 1 akcja";" 9 metrów";" W, S";" Natychmiastowy";" Nekrotyczna energia oblepia istotę, którą wskażesz w zasięgu czaru, pozbawiając jej ciało wilgoci i żywotności. Cel zaklęcia musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 8k8 obrażeń nekrotycznych. Udany rzut zmniejsza obrażenia o połowę. Zaklęcie nie ma wpływu na konstrukty i nieumarłych. Jeśli celem zaklęcia jest magiczna roślina lub stworzenie typu roślinnego, to rzut obronny przeprowadza z utrudnieniem, a zaklęcie zadaje maksymalne obrażenia. Jeżeli zaś celem zaklęcia jest zwykła roślina nierozumna, na przykład drzewo czy krzew, to nie wykonuje ona rzutu obronnego, lecz od razu więdnie i umiera.<br><br>Na wyższych kręgach: Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 5. kręgu, za każdy krąg powyżej 4. zwiększasz obrażenia o l k8.";"Czarownik"
"4";"WYPĘDZENIE";" Odpychanie, 4. krąg";" 1 akcja";" 18 metrów";" W, S, M (przedmiot obrzydliwy dla celu czaru)";" Koncentracja, do 1 minuty";" Podejmujesz próbę odesłania istoty, którą widzisz w zasięgu czaru, do innej sfery egzystencji. Musi ona wykonać rzut obronny na Charyzmę. W przypadku niepowodzenia, zostaje wygnana. Jeżeli pochodzi ze sfery egzystencji, w której aktualnie przebywasz, to znika i pojawia się obezwładniona w neutralnej demisferze. Pozostaje tam do zakończenia czaru,<br>po czym powraca w miejsce, z którego zniknęła (lub w najbliższe wolne).<br><br>Natomiast jeżeli stworzenie pochodzi z innej sfery egzystencji niż ta, w której rzucasz czar, to zostaje wypędzone i z cichym trzaskiem powraca do swojej rodzimej sfery. Jeżeli zaklęcie skończy się przed upływem 1 minuty, odesłany cel pojawia się z powrotem w miejscu, z którego go wygnałeś, lub w najbliższym wolnym. W przeciwnym przypadku nie wraca. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 5. kręgu, za każdy krąg powyżej 4. możesz objąć czarem dodatkową istotę.";"Czarownik"
"5";"KONTAKT Z INNĄ SFERĄ";" Wieszczenie, 5. krąg (rytuał)";" 1 minuta";" Na siebie";" W";" 1 minuta";" Nawiązujesz telepatyczny kontakt z półbogiem, duchem dawno zmarłego mędrca lub innym tajemniczym bytem z innej sfery egzystencji. Kontakt ten może nadwyrężyć albo nawet zniszczyć twój umysł. Gdy rzucasz ten czar, wykonaj rzut obronny na Inteligencję o ST 15. W przypadku niepowodzenia, otrzymujesz 6k6 obrażeń psychicznych i stajesz się obłąkany do czasu ukończenia długiego odpoczynku. Będąc obłąkanym, nie możesz podejmować akcji, nie rozumiesz, co mówią do ciebie inni, nie potrafisz czytać, a z twoich ust dobywa się jedynie bełkot. Efekt ten można zakończyć, rzucając na ciebie większe przywrócenie. <br><br>Jeśli rzut obronny ci się powiedzie, możesz zadać bytowi do pięciu pytań, przy czym musisz z nimi zdążyć, póki trwa zaklęcie. MP na każde z pytań odpowiada jednym słowem, na przykład: ,,tak, ,,nie, ,,może'', ,,nigdy'', ,,nieistotne'' albo ,,niejasne (jeśli byt nie zna odpowiedzi na pytanie). Gdyby odpowiedź jednym słowem mogła być myląca, MP może udzielić jej krótkim zdaniem.";"Czarownik"
"5";"SEN";" Iluzje, 5. krąg";" 1 minuta";" Specjalny";" W, S, M (garść piasku, odrobina inkaustu i pióro wyrwane śpiącemu ptakowi)";" 8 godzin";" Istoty, które nie śpią, nie mogą być celem tego zaklęcia. Istota, której dotkniesz (możesz być nią ty), wpada w trans, przyjmując rolę posłańca. Nie może wykonywać akcji ani się przemieszczać.<br>Jeśli istota będąca celem zaklęcia śpi, to posłaniec pojawia się w jej śnie i może z nią rozmawiać, dopóki cel śpi i trwa zaklęcie. Posłaniec wpływa również na wizje senne,może w każdej chwili wyjść z transu, kończąc czar. Po przebudzeniu, cel zaklęcia pamięta sen. Jeśli natomiast cel nie śpi, kiedy rzucasz zaklęcie, to posłaniec dowiaduje się o tym i może albo zakończyć trans (i zaklęcie), albo poczekać, aż cel zaśnie. Możesz nadać posłańcowi potworny wygląd. Jeśli tak zrobisz, będzie mógł przekazać najwyżej 10 słów, po których cel zaklęcia musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, echo urojonych potworności będzie męczyć go w koszarach aż do przebudzenia. Co więcej, po obudzeniu otrzyma 1k6 obrażeń psychicznych...<br><br>Podręcznik gracza str.261<br>";"Czarownik"
"5";"UNIERUCHOMIENIE POTWORA";" Uroki, 5. krąg";" 1 akcja";" 27 metrów";" W, S, M (mały, prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz stworzenie, które widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Zaklęcie nie działa na nieumarłych. Pod koniec każdej swojej tury, cel może ponowić rzut na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując, komórkę co najmniej 6. kręgu, za każdy krąg powyżej 5. możesz objąć czarem jedno dodatkowe stworzenie. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9 metrów od siebie.";"Czarownik"
"5";"WIZJA";" Wieszczenie, 5. krąg";" 10 minut";" Na siebie";" W, S, M (fokus o wartości co najmniej 1000sz, taki jak kryształowa kula, srebrne lustro, lub misa z wodą święconą)";" Koncentracja, do 10 minut";" Jesteś w stanie zobaczyć i usłyszeć określoną istotę przebywającą w tej samej sferze egzystencji co ty. Cel musi wykonać rzut obronny na Mądrość, modyfikowany stopniem twojej znajomości celu i rodzajem fizycznego powiązania, które z nim posiadasz( str. 278). Jeżeli cel zdaje sobie sprawę, że rzucasz ten czar, może dobrowolnie poddać się obserwacji i ponosi automatyczną porażkę w rzucie obronnym. Udany rzut obronny = wieszczenie się nie udało, a ty nie możesz ponowić go na tej istocie przez najbliższe 24 godziny. W przypadku nieudanego rzutu, czar tworzy niewidzialny czujnik w obrębie 3 metrów od celu. Możesz patrzeć i słuchać za jego pośrednictwem, tak jakbyś tam był...<br><br>Podręcznik gracza str.279";"Czarownik"
"6";"CIAŁO W KAMIEŃ";" Przemiany, 6. krąg";" 1 akcja";" 18 metrów";" W, S, M (odrobina wapna, wody i ziemi)";" Koncentracja, do 10 minut";" Próbujesz zmienić w kamień jedną istotę, którą widzisz w zasięgu zaklęcia. Jeśli posiada ona organiczne ciało (składające się z mięśni, kości, ścięgien itd.), musi wykonać rzut obronny na Kondycję. Udany rzut oznacza, że udało jej się odeprzeć zaklęcie, natomiast po nieudanym staje się unieruchomiona, gdyż jej ciało zaczyna tężeć.<br><br>Stworzenie unieruchomione zaklęciem wykonuje kolejne rzuty obronne pod koniec każdej swojej tury. Jeśli zda je trzy razy, zaklęcie się kończy. Jeśli natomiast trzy razy poniesie porażkę, zostaje zamienione w kamień i do końca trwania<br>czaru jest skamieniałe, Sukcesy i porażki nie muszą następować kolejno po sobie - notuj je do momentu zebrania przez cel trzech wymaganych wyników.<br><br>Jeśli skamieniała istota zostanie uszkodzona fizycznie, to zachowa te deformacje, powracając do swojej naturalnej formy.<br><br>Jeśli utrzymasz koncentrację na zaklęciu przez pełną minutę, skamienienie utrwali się i utrzyma aż do czasu usunięcia efektu.";"Czarownik"
"6";"KĄŚLIWY WZROK";" Nekromancja, 6. krąg";" 1 akcja";" Na siebie";" W, S";" Koncentracja, do 1 minuty";" Twoje oczy stają się czarnymi jak atrament jeziorami pustki nasyconymi straszliwą mocą. Wybrana istota, którą widzisz w obrębie 18 metrów, musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, nakładasz na nią efekt wybrany z poniższych, utrzymujący się do końca trwania czaru. Póki zaklęcie trwa, możesz w każdej swojej akcji podstawowej wybrać kolejną ofiarę, przy czym nie możesz ponownie wskazać istoty, która zdała rzut obronny przeciw aktualnie trwającemu kąśliwemu wzrokowi.<br>*Choroba. Ofiara ma utrudnienie w testach ataku i cech. Pod koniec każdej swojej tury może ponowić rzut obronny na Mądrość, by spróbować wyrwać się spod działania czaru. <br>*Panika.  W każdej swojej turze musi wykonać akcję Sprintu, by jak najbardziej oddalić się od ciebie najbezpieczniejszą i najkrótszą drogą, chyba że nie ma dokąd się poruszyć. Jeśli cel znajduje się w miejscu oddalonym od ciebie co najmniej o 18 metrów, z którego nie będzie mógł cię zobaczyć, efekt ustaje.<br>*Uśpienie. Ofiara pada nieprzytomna. Obudzi się w momencie otrzymania obrażeń albo gdy inna istota w ramach swojej akcji nią potrząśnie.";"Czarownik"
"6";"KRĄG ŚMIERCI";" Nekromancja, 6. krąg";" 1 akcja";" 45 metrów";" W, S, M (sproszkowana czarna perła o wartości co najmniej 500 sz)";" Natychmiastowy";" Z punktu, który wskazujesz w zasięgu czaru, wyłania się sfera negatywnej energii o promieniu 18 metrów. Każde objęte nią stworzenie musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 8k6 obrażeń nekrotycznych. Udany rzut zmniejsza obrażenia o połowę.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 7. kręgu, za każdy krąg powyżej 6. zwiększasz obrażenia o 2k6.";"Czarownik"
"6";"MAGICZNE WROTA";" Przywoływanie, 6. krąg";" 1 akcja";" 150 metrów";" W, S";" Koncentracja, do 10 minut";" Tworzysz powiązane portale teleportacyjne, które pozostają czynne przez czas trwania zaklęcia. Wybierasz dwa miejsca na ziemi, które widzisz: jedno w obrębie 3 metrów od ciebie, a drugie w obrębie 150 metrów. W obu miejscach otwiera się okrągły portal o średnicy 3 metrów. Jeśli miałoby to oznaczać otwarcie portalu w miejscu zajętym przez jakąś istotę, to czar się nie udaje, a komórka czaru zostaje zużyta.<br><br>Portale są dwuwymiarowymi świecącymi pierścieniami wypełnionym magią, unoszącymi się kilkanaście centymetrów nad ziemią, prostopadle do niej. Widoczne są tylko z jednej strony (ty wybierasz), i to ona pełni funkcję<br>portalu. <br><br>Istoty i przedmioty wchodzące do jednego z portali wychodzą z drugiego z nich tak, jakby portale do siebie przylegały. Wejście w okrąg od jego niewidocznej strony nie przynosi żadnych efektów. Mgła wypełniająca każdy z portali jest nieprzezroczysta i nie można jej przejrzeć W ramach akcji dodatkowej w swojej turze możesz obrócić okręgi, by ich aktywne strony zwrócone były w innym kierunku.";"Czarownik"
"6";"MASOWA SUGESTIA";" Uroku, 6. krąg";" 1 akcja";" 18 metrów";" W, M (wężowy język, kawałek plastra miodu lub kropla słodkiego olejku)";" 24 godziny";" Wybierasz do 12 istot, mogących cię usłyszeć i zrozumieć. Wpływasz na ich umysł i w jednym lub dwóch zdaniach sugerujesz im kierunek działań. Istoty odporne na zauroczenia są niepodatne na ten czar. Sugestia musi być sformułowana w taki sposób, by brzmiała rozsądnie. Nie można kazać się zranić. Każdy cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, spełnia twoją sugestię. Możesz określić warunki, w których sugerowane działanie ma być rozpoczęte. Przykładowo, możesz zasugerować grupie żołnierzy, by oddali wszystkie swoje pieniądze pierwszemu żebrakowi, jakiego spotkają. Jeśli w czasie trwania czaru okoliczności nie występują, to działanie nie zostaje podjęte...<br><br>Podręcznik gracza str.235";"Czarownik"
"6";"PRAWDZIWE WIDZENIE";" Wieszczenie, 6. krąg";" 1 akcja";" Dotyk";" W, S, M (maść na oczy o wartości 25 sz, sporządzona ze sproszkowanych grzybów, szafranu i tłuszczu, zużywana przez zaklęcie)";" 1 godzina";" Tym czarem zapewniasz dotkniętej, przychylnej istocie umiejętność postrzegania rzeczy takimi, jakimi są w rzeczywistości. Podczas działania zaklęcia, jego cel ma zdolność prawdziwego widzenia, dostrzega magicznie ukryte tajne przejścia i ma wgląd w Sferę Eteryczną na odległość 36 metrów";"Czarownik"
"6";"PRZYWOŁANIE FEY";" Przywoływanie, 6. krąg";" 1 minuta";" 27 metrów";" W, S";" Koncentracja, do 1 godziny";" Przywołujesz fey o stopniu wyzwania nie większym niż 6, albo ducha fey, który przyjmuje formę zwierzęcia o stopniu wyzwania nie większym niż 6. Istota pojawia się w wolnej przestrzeni, którą widzisz w zasięgu czaru. Znika, kiedy jej PW spadają do 0, lub gdy czar dobiega końca. Istota jest przyjazna tobie i twoim sprzymierzeńcom. Wykonujesz za nią rzut na inicjatywę, gdyż działa w swoich własnych turach. Jest posłuszna twoim słownym poleceniom, dopóki są zgodne z jej charakterem (nie zużywają one twojej akcji). Jeśli nie wydasz polecenia, przywołana istota ogranicza się do obrony przed wrogami, ale nie wykonuje innych akcji. Gdy twoja koncentracja zostanie przerwana, fey nie znika, lecz tracisz nad nim kontrolę. Stworzenie staje się wrogie tobie i twoim sprzymierzeńcom, może też was zaatakować. Nie możesz odwołać niekontrolowanej istoty - znika ona dopiero godzinę po przywołaniu. MP dysponuje statystykami przywołanych fey. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 7. kręgu, za każdy krąg powyżej 6., maksymalny stopień wyzwania przywołanej istoty wzrasta o 1.";"Czarownik"
"6";"STWORZENIE NIEUMARŁEGO";" Nekromancja, 6. krąg";" 1 minuta";" 3 metry";" W, S, M (po jednym glinianym dzbanie z grobową ziemią, jednym glinianym dzbanie ze słonawą wodą oraz jednym czarnym onyksie o wartości 15sz na każde zwłoki";" Natychmiastowy";" Możesz rzucić tylko nocą. Wybierz do trzech zwłok Średnich lub Małych humanoidów. Stają się kontrolowanymi ghulami. W ramach akcji dodatkowej w swojej turze, możesz wydać telepatyczny rozkaz słudze, o ile znajduje się w obrębie 36m. Decydujesz o kierunku ruchu i akcji podejmowanej przez stworzenie w jego następnej turze, albo wydajesz ogólne polecenie – np. strzeżenia komnaty, czy korytarza. Gdy nie wydasz rozkazu, sługa ograniczy się do obrony własnej. Sługa wypełnia polecenie aż do ukończenia zadania. Masz kontrolę przez 24h...<br><br>Podręcznik gracza str.267";"Czarownik"
"7";"CELA MOCY";" Wywoływanie, 7. krąg";" 1 akcja";" 30 metrów";" W, S, M (rubinowy pył o wartości 1500 sz)";" 1 godzina";" Wokół wybranego obszaru, pojawia się niewidzialna, nieruchoma cela w kształcie sześcianu. Zależnie od twojego wyboru, więzienie może być klatką lub skrzynią. Więzienie w kształcie klatki, ma ściany o długości do 6 metrów i składa się z prętów o średnicy centymetra oddalonych od siebie o centymetr.<br>Więzienie w formie skrzyni, ma ściany o długości do 3 metrów, tworzące zwartą barierę nieprzepuszczalną dla żadnego rodzaju materii i blokującą zaklęcia rzucane do wewnątrz lub z wewnątrz celi. Gdy rzucasz ten czar, każda istota, która przebywa w całości wewnątrz celi, zostaje uwięziona. Stworzenia przebywające częściowo na obszarze czaru albo za duże, by zmieścić się do celi, zostają wypchnięte na zewnątrz. Uwięziona istota nie może wydostać się niemagicznymi sposobami. Jeżeli spróbuje użyć teleportacji lub podróży międzysferalnej, żeby opuścić celę, musi najpierw wykonać udany rzut obronny na Charyzmę. W przypadku niepowodzenia, nie może opuścić celi, a czar lub efekt zostaje zmarnowany. Cela rozciąga się również na Sferę Eteryczną, blokując możliwość ucieczki tą drogą.To zaklęcie nie może zostać zniwelowane rozproszeniem magii.";"Czarownik"
"7";"ETERYCZNOŚĆ";" Przemiany, 7. krąg";" 1 akcja";" Na siebie";" W, S";" Do 8 godzin";" Wkraczasz na Eteryczne Pogranicze w miejscu przenikania się Sfery Eterycznej ze sferą egzystencji, w której przebywasz. Pozostajesz tam do końca trwania czaru lub do jego zakończenia przy użyciu akcji. Możesz się przemieszczać. Ruch w górę kosztuje Cię podwójnie. Widzisz i słyszysz co się dzieje w twojej sferze egzystencji, ale tylko na 18m i szaro. W Sferze Eterycznej możesz wchodzić w interakcje jedynie z innymi stworzeniami tam przebywającymi. Ignorujesz wszystkie obiekty i efekty spoza Sfery Eterycznej, co pozwala ci na przemieszczanie się przez obiekty znajdujące się w sferze, z której przybyłeś. Kiedy czar się kończy, wracasz do swojej sfery, w miejscu, w którym aktualnie się znajdujesz. Jeśli znajduje się tam w tym czasie jakieś stworzenie lub ciało stałe, zostajesz przeniesiony do wolnego miejsca i za każde przebyte 30cm otrzymujesz 2 obrażenia od mocy. Zaklęcie nie przynosi żadnego efektu, jeśli rzucisz je w Sferze Eterycznej albo takiej, która się z nią nie przenika, np. w jednej ze Sfer Zewnętrznych...<br><br>Podręcznik gracza str.221";"Czarownik"
"7";"PALEC ŚMIERCI";" Nekromancja, 7. krąg";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Wywołujesz u istoty, którą widzisz w zasięgu czaru, przepływ negatywnej energii powodujący przeszywający ból. Ofiara musi wykonać rzut obronny na Kondycję. W przypadku niepowodzenia otrzymuje 7k8 + 30 obrażeń nekrotycznych. Udany rzut zmniejsza obrażenia o połowę. <br><br>Jeżeli tym zaklęciem zabijesz humanoida, to na początku twojej następnej tury powstanie on jako zombi będący pod twoją trwałą kontrolą i wypełniający twoje słowne rozkazy najlepiej, jak tylko potrafi.";"Czarownik"
"7";"SFERALNY PRZESKOK";" Przywoływanie, 7. krąg";" 1 akcja";" Dotyk";" W, S, M (rozwidlony metalowy pręt o wartości co najmniej 250sz, dostrojony do konkretnej sfery egzystencji)";" Natychmiastowy";" Zostajesz przeniesiony do innej sfery (+max 8 istot – musicie utworzyć krąg, trzymając się za ręce). Możesz ogólnie określić miejsce przeznaczenia (np. Pałac Dispatera w drugim kręgu Dziewięciu Piekieł, albo Mosiężne Miasto w Sferze Ognia) i pojawiasz się w nim albo w jego pobliżu.<br><br>Jeżeli znasz sekwencję pieczęci kręgu teleportacyjnego z innej sfery egzystencji, możesz także rzucić to zaklęcie tak, by przeniosło cię do tego kręgu. Jeśli ów krąg jest za mały, by pomieścić wszystkie przychylne istoty, to pojawiają się one w najbliższym wolnym miejscu w jego pobliżu...<br><br>Podręcznik gracza str.262";"Czarownik"
